parietal_endo_rep1	parietal_endo_rep2	parietal_endo_rep3	parietal_endo_rep4	parietal_endo_rep5	parietal_endo_rep6
Ercc5	63	53	27	20	55	63
Gulp1	1	1	0	2	1	1
Col3a1	11	9	7	6	17	9
Col5a2	1	1	3	0	1	1
Wdr75	140	85	47	40	96	107
Slc40a1	14	5	3	3	5	4
Dnah7b	1	3	0	0	0	3
Slc39a10	106	64	28	31	65	70
Gm28151	1	0	0	0	0	0
Gm28826	0	0	1	0	0	0
Tmeff2	0	1	1	0	0	0
Cavin2	0	0	1	3	7	2
X1700072G22Rik	0	0	0	0	3	0
Nabp1	292	207	115	87	138	158
Gm17767	0	1	1	1	2	3
Myo1b	78	67	25	34	51	55
Stat4	0	0	1	0	2	0
Gm31812	5	3	0	1	3	3
Stat1	74	78	34	26	54	66
Gls	437	209	170	110	214	213
Nab1	146	67	60	38	83	88
Nemp2	20	5	4	4	5	2
Mfsd6	8	6	3	1	7	5
Inpp1	19	24	10	6	23	9
Hibch	37	27	12	9	30	24
X1700019D03Rik	6	1	3	0	1	5
X1700019A02Rik	1	0	0	0	0	1
Pms1	15	8	8	5	16	17
Ormdl1	91	49	25	34	70	61
Osgepl1	29	18	12	11	24	11
Gm28551	1	0	0	0	0	0
Asnsd1	81	61	27	30	52	54
Dnah7a	0	0	0	0	1	0
Stk17b	71	43	28	32	40	38
Hecw2	3	1	0	0	0	1
Ccdc150	2	1	2	1	0	4
Gtf3c3	34	30	20	18	32	27
Pgap1	118	80	50	64	93	104
Ankrd44	6	7	4	3	3	8
Sf3b1	1003	599	408	317	738	649
Coq10b	326	145	94	75	167	155
Hspd1	1618	920	572	446	1098	1007
Hspe1	2042	1302	789	700	1644	1470
Mob4	271	152	114	73	197	165
Rftn2	0	1	2	2	1	0
Gm10561	1	0	0	0	1	1
Mars2	11	4	4	7	10	6
Boll	1	1	0	0	0	1
Plcl1	0	2	0	2	0	0
Satb2	26	18	8	7	22	21
X4930558J18Rik	3	1	1	1	1	2
X1700066M21Rik	6	9	2	4	5	4
Tyw5	45	27	17	13	27	24
Maip1	187	107	63	55	120	118
Spats2l	70	66	39	26	76	84
Kctd18	19	11	9	5	18	16
Sgo2a	64	59	26	18	45	53
Aox3	0	0	0	0	0	0
Aox4	1	1	2	0	2	4
Bzw1	1220	673	413	356	859	873
Clk1	317	199	134	116	223	192
Ppil3	68	42	22	27	65	54
Nif3l1	60	33	21	24	45	43
Orc2	88	70	33	26	75	56
Gm15834	1	1	0	0	0	0
Fam126b	55	31	14	23	38	41
Ndufb3	440	299	194	158	341	369
Cflar	67	32	17	8	43	47
Casp8	88	45	17	19	54	48
Trak2	63	36	24	21	42	41
Stradb	26	14	11	10	12	14
Tmem237	34	11	12	9	25	23
G730003C15Rik	1	1	1	2	6	1
Mpp4	1	0	0	0	0	0
Als2	29	12	15	7	10	8
Fzd7	50	26	19	19	27	33
