pluripotent_NA18511	pluripotent_NA18856	pluripotent_NA18858	pluripotent_NA18912	pluripotent_NA19140	pluripotent_NA19159	pluripotent_NA19160	pluripotent_NA19210
C1orf127	0	4	19	3	0	2	2	6
TARDBP	2863	1363	37995	1163	193	478	1866	1964
MASP2	9	20	117	8	3	2	4	34
SRM	19684	2034	218336	2486	399	799	9939	3724
EXOSC10	1889	557	22413	499	103	183	991	676
MTOR	1541	707	17694	581	130	187	890	850
ANGPTL7	1	8	14	7	1	1	0	7
UBIAD1	907	197	12495	234	42	71	505	306
DISP3	64	114	592	52	9	20	39	65
FBXO2	7372	174	99313	654	101	226	2886	1541
FBXO44	589	110	8673	99	18	40	296	183
FBXO6	52	45	623	45	14	16	25	60
MAD2L2	14018	1680	179149	2366	464	750	8340	4119
DRAXIN	2268	681	22127	541	97	182	1247	949
AGTRAP	5289	978	71680	1332	194	432	3257	1623
C1orf167	71	6	535	16	3	4	77	18
MTHFR	382	184	4575	127	24	40	249	204
CLCN6	247	295	3917	192	37	65	146	269
NPPA	2	6	5	6	1	1	0	21
NPPB	159	5	986	42	0	17	52	6
KIAA2013	1778	279	21852	277	63	97	849	479
PLOD1	657	222	13341	239	40	71	458	332
MFN2	721	252	9218	185	37	75	363	304
MIIP	2766	565	37364	469	83	173	1527	794
TNFRSF8	333	16	3351	95	31	47	208	173
TNFRSF1B	52	34	431	19	6	2	20	25
VPS13D	567	716	7182	550	146	203	283	835
DHRS3	1269	50	18789	224	38	40	533	258
AADACL4	1	0	1	0	0	0	0	0
AADACL3	58	0	205	2	0	0	3	31
C1orf158	5	25	27	4	0	2	2	5
PRAMEF12	2	0	9	0	0	0	0	0
PRAMEF1	1	0	0	0	0	0	0	0
PRAMEF11	0	0	0	0	0	0	0	0
HNRNPCL1	6	1	42	0	0	0	2	0
PRAMEF2	0	0	0	0	0	0	0	0
PRAMEF4	0	0	0	0	0	0	0	0
PRAMEF10	0	0	0	0	0	0	0	0
PRAMEF7	0	0	0	0	0	0	0	0
PRAMEF6	0	0	0	0	0	0	0	0
PRAMEF27	0	0	0	0	0	0	0	0
HNRNPCL3	0	0	0	0	0	0	0	0
PRAMEF25	0	0	0	0	0	0	0	0
HNRNPCL2	0	0	0	0	0	0	0	0
PRAMEF26	0	0	0	0	0	0	0	0
HNRNPCL4	0	0	0	0	0	0	0	0
PRAMEF9	0	0	0	0	0	0	0	0
PRAMEF13	0	0	0	0	0	0	0	0
PRAMEF18	0	0	0	0	0	0	0	0
PRAMEF5	0	0	0	0	0	0	0	0
PRAMEF8	0	0	0	0	0	0	0	0
PRAMEF33	0	0	0	0	0	0	0	0
PRAMEF15	0	0	0	0	0	0	0	0
PRAMEF14	0	0	0	0	0	0	0	0
PRAMEF19	0	0	0	0	0	0	0	0
PRAMEF17	0	0	0	0	0	0	0	0
PRAMEF20	0	0	0	0	0	0	0	0
LRRC38	2	1	81	5	0	0	4	1
PDPN	5122	737	78889	739	219	293	3489	1865
PRDM2	678	1155	8196	596	126	244	519	1000
KAZN	1336	3105	13350	3625	854	1064	605	6306
TMEM51	325	314	3646	311	38	80	299	304
FHAD1	25	432	244	84	26	51	15	187
EFHD2	1090	223	17128	197	32	98	593	398
CTRC	0	0	4	1	0	0	0	1
CELA2A	0	2	0	1	0	0	0	0
CELA2B	0	14	1	6	1	2	0	11
CASP9	395	182	8689	130	28	65	304	210
DNAJC16	844	356	9843	341	68	101	516	460
AGMAT	326	37	4838	84	6	17	260	96
DDI2	1280	332	13282	348	74	116	641	468
RSC1A1	0	0	0	0	0	0	0	0
PLEKHM2	677	484	11046	343	71	108	509	419
SLC25A34	2	10	97	6	0	1	2	15
TMEM82	13	5	209	3	1	1	19	4
FBLIM1	2129	191	22000	666	88	144	800	683
UQCRHL	1094	143	10142	157	22	55	484	279
SPEN	2649	1346	27902	828	194	334	1588	1489
ZBTB17	481	307	5218	135	35	40	211	225
SRARP	2	16	9	8	1	2	2	3
HSPB7	0	1	15	8	0	0	0	0
CLCNKA	14	0	304	3	0	2	10	6
CLCNKB	16	5	219	5	1	3	10	8
FAM131C	9	18	121	15	12	11	17	22
EPHA2	405	225	5041	124	27	47	156	220
ARHGEF19	712	109	6851	179	27	87	577	293
CPLANE2	97	25	1012	14	5	9	49	25
FBXO42	706	733	7865	620	114	202	403	840
SZRD1	2353	748	32487	707	122	263	1226	1056
SPATA21	7	80	95	32	6	6	2	41
NECAP2	679	476	10558	301	52	95	536	402
NBPF1	264	503	2834	164	68	54	149	292
CROCC	305	793	4486	290	56	158	243	380
MFAP2	37	1896	629	842	170	394	41	1352
ATP13A2	991	249	12357	202	35	71	582	310
SDHB	5617	977	75726	890	147	266	2367	1408
PADI2	60	12	546	8	2	3	30	14
PADI1	4	1	117	2	0	1	1	2
PADI3	11	14	349	16	1	5	5	30
PADI4	8	6	48	2	0	0	5	2
PADI6	2	0	4	2	0	1	0	5
RCC2	7885	1479	90589	1958	325	679	4094	3395
ARHGEF10L	422	399	5729	359	87	107	282	691
ACTL8	23	0	427	2	0	1	27	3
IGSF21	353	49	1562	121	49	70	167	326
KLHDC7A	41	4	1210	30	1	9	64	10
PAX7	6	952	112	140	78	84	12	669
TAS1R2	0	0	1	0	0	0	0	0
ALDH4A1	445	106	7986	107	18	37	249	160
IFFO2	83	43	1350	43	6	19	58	93
UBR4	2825	755	33471	835	141	268	1483	1064
EMC1	1150	262	12835	203	42	104	691	389
MRTO4	6597	1044	70696	1207	192	356	3643	1768
AKR7A3	31	8	184	4	1	1	15	8
AKR7A2	2621	1561	38647	764	221	370	1720	1431
SLC66A1	400	123	6056	109	14	38	203	155
CAPZB	9569	3097	147811	3389	525	1121	6191	4960
MICOS10	8288	2799	94471	2505	460	835	4272	3771
NBL1	526	46	4802	39	16	20	140	104
HTR6	10	0	236	2	0	0	12	4
TMCO4	126	32	893	96	7	20	95	104
RNF186	0	0	0	0	0	0	0	0
OTUD3	460	366	5837	236	43	105	314	358
PLA2G2E	0	0	0	0	0	0	0	0
PLA2G2A	412	222	48145	481	14	7	1117	2692
PLA2G5	5	3	47	4	0	2	2	9
PLA2G2D	0	0	0	0	0	0	0	1
PLA2G2F	0	0	4	0	0	0	0	0
PLA2G2C	0	0	8	0	0	1	1	2
UBXN10	17	30	209	13	4	6	8	9
VWA5B1	0	37	15	27	5	2	4	7
CAMK2N1	273	648	4511	250	43	166	285	387
MUL1	442	186	8471	130	20	48	269	191
FAM43B	103	26	2377	13	5	8	34	31
CDA	1799	99	18432	583	106	78	1386	750
PINK1	2129	297	32116	424	105	107	766	580
DDOST	13787	1944	141166	1804	328	609	7055	3002
KIF17	219	62	2603	70	12	22	91	88
SH2D5	126	20	1808	18	5	4	39	32
HP1BP3	2648	3223	31470	1670	418	812	1597	2389
EIF4G3	2300	5872	30091	3674	799	1264	1813	6037
ECE1	475	343	4621	225	49	75	297	381
NBPF3	124	204	224	73	21	34	106	103
ALPL	2307	509	34050	437	98	284	1358	906
RAP1GAP	127	39	1995	44	2	9	85	56
USP48	4986	1355	52990	1457	269	431	2490	2265
LDLRAD2	11	8	206	1	1	3	5	10
HSPG2	215	264	3265	231	36	92	202	300
CELA3B	0	1	6	0	0	0	0	3
CELA3A	0	1	4	2	0	0	0	1
CDC42	13482	5049	161737	4506	804	1665	8181	6943
WNT4	87	1132	794	318	111	158	30	597
ZBTB40	534	266	6726	196	42	89	215	384
EPHA8	161	5	1413	37	8	11	122	27
C1QA	0	0	3	0	0	0	0	0
C1QC	0	0	3	0	0	0	0	0
C1QB	0	0	0	0	0	0	0	0
EPHB2	216	393	2843	216	65	113	110	392
LACTBL1	0	0	0	0	0	0	0	0
TEX46	1	2	28	4	0	1	4	2
KDM1A	6482	3217	66618	2196	446	906	4126	3264
LUZP1	3657	1066	31803	1378	216	422	1549	1561
HTR1D	246	5	3510	39	4	9	114	35
HNRNPR	12503	7229	133839	4460	813	1882	7971	6853
ZNF436	11	30	152	12	4	9	9	26
TCEA3	14	20	148	16	4	2	11	29
ASAP3	227	322	4310	145	55	79	217	303
E2F2	49	99	412	31	15	25	33	63
ID3	15313	13289	87442	7197	1126	2741	9889	8315
RPL11	305472	52628	3147629	50042	8558	18011	168363	81559
ELOA	2099	413	23408	420	71	159	924	624
PITHD1	5532	1106	56289	1040	176	319	2827	1505
LYPLA2	1338	611	21082	561	97	205	712	1177
GALE	1899	336	24179	288	55	84	704	511
HMGCL	449	419	9085	226	34	117	352	294
FUCA1	460	98	7654	150	27	57	254	176
CNR2	0	1	3	4	0	1	0	4
PNRC2	3159	1801	39852	1182	239	515	1873	2360
SRSF10	11621	4033	102523	3028	550	1172	6420	4559
MYOM3	0	5	10	2	0	0	0	3
IL22RA1	0	0	18	1	0	0	0	0
IFNLR1	153	18	2410	111	17	31	73	96
GRHL3	214	14	958	62	11	8	43	20
STPG1	263	210	3849	140	33	62	192	179
NIPAL3	541	112	6841	146	24	51	296	237
RCAN3	805	139	8180	299	71	94	629	433
NCMAP	10	6	178	7	0	2	2	11
SRRM1	15806	5039	150149	3527	730	1396	9616	5675
CLIC4	3000	2203	38214	2416	386	721	2047	3826
RUNX3	72	2	396	18	2	2	15	15
SYF2	5955	1304	65872	1104	267	368	3097	1658
RSRP1	1286	697	11410	406	72	162	747	708
RHD	8	78	32	29	7	13	3	59
TMEM50A	7539	2362	80684	1653	323	645	4086	2517
RHCE	13	14	202	18	5	3	7	18
MACO1	1097	614	12229	507	102	171	537	701
LDLRAP1	677	120	6336	111	17	47	321	165
MAN1C1	862	189	6099	163	46	63	339	395
SELENON	1108	413	15209	310	61	133	731	552
MTFR1L	872	474	10182	248	57	118	484	419
AUNIP	870	221	10548	227	45	83	485	313
PAQR7	125	41	1459	20	5	9	74	42
STMN1	43889	23919	493688	11827	2441	5439	27268	20920
PAFAH2	412	98	3852	82	18	33	176	156
