pluripotent_NA18511	pluripotent_NA18856	pluripotent_NA18858	pluripotent_NA18912	pluripotent_NA19140	pluripotent_NA19159	pluripotent_NA19160	pluripotent_NA19210
C5orf46	0	1	0	14	3	5	0	1
SPINK5	211	858	2520	567	57	196	137	960
SPINK14	0	0	0	4	1	1	0	4
SPINK6	0	1	0	3	1	0	0	4
MARCOL	0	6	2	3	0	2	0	9
SPINK13	9	2	118	0	1	0	2	4
SPINK7	1	1	2	0	0	0	0	0
SPINK9	0	5	0	2	1	0	0	1
FBXO38	541	501	6979	283	78	119	257	451
HTR4	0	4	1	8	1	0	0	1
ADRB2	17	8	538	4	0	1	2	10
SH3TC2	2	11	16	0	0	4	2	5
ABLIM3	3	2	72	6	0	1	1	14
AFAP1L1	105	17	1835	47	1	11	55	57
GRPEL2	759	192	10019	204	33	56	353	232
PCYOX1L	109	111	1699	51	11	32	72	100
IL17B	0	2	21	1	0	0	2	2
CSNK1A1	9825	3549	106216	3025	534	1134	5008	4742
ARHGEF37	21	64	356	26	8	16	17	37
PPARGC1B	1114	69	12811	255	41	73	426	390
PDE6A	2	5	28	8	1	0	1	3
SLC26A2	547	325	7045	239	47	87	381	294
TIGD6	75	72	792	27	7	11	51	49
HMGXB3	1061	471	13412	369	66	131	537	498
CSF1R	2	5	23	7	0	1	1	5
PDGFRB	19	80	181	39	3	12	24	39
CDX1	44	8	38	151	4	1	43	14
SLC6A7	1	0	11	3	0	0	1	4
CAMK2A	4	23	39	18	2	4	3	16
ARSI	98	18	1156	19	2	6	69	26
TCOF1	6585	787	80610	1058	147	287	3386	1476
CD74	530	115	15231	173	12	35	412	201
RPS14	257325	58724	3234015	49582	9608	18274	152565	81037
NDST1	541	321	7512	299	43	97	303	388
SYNPO	3	13	94	10	1	1	3	8
MYOZ3	604	43	7203	60	13	22	443	135
RBM22	1681	847	20087	511	99	191	982	815
DCTN4	672	900	8086	545	88	227	475	703
SMIM3	1218	119	11306	95	41	87	264	148
IRGM	1	16	35	7	1	3	1	6
ZNF300	224	272	5454	143	38	78	35	210
GPX3	441	87	10440	80	10	33	186	108
TNIP1	680	186	10347	210	46	99	489	307
ANXA6	822	709	17559	354	70	127	570	691
CCDC69	100	46	2058	67	9	20	68	57
GM2A	586	130	12364	163	29	52	448	283
SLC36A3	0	3	0	0	0	0	0	1
SLC36A2	1	1	5	2	0	2	3	1
SLC36A1	140	148	1912	95	23	28	94	152
FAT2	0	7	18	3	1	1	1	9
SPARC	4329	2106	41189	1278	254	612	1920	1731
ATOX1	7071	2046	86916	1874	397	610	3892	2486
G3BP1	14641	3308	165501	4091	648	1297	8412	5899
GLRA1	0	5	2	18	11	14	0	23
NMUR2	1	3	14	1	1	0	3	2
GRIA1	130	1101	395	241	68	309	14	840
FAM114A2	458	332	4135	175	38	88	321	261
MFAP3	98	346	1098	177	42	79	64	251
GALNT10	294	463	2785	273	80	105	152	480
SAP30L	768	330	9097	275	49	88	416	364
HAND1	33	74	492	630	8	54	32	30
LARP1	7140	1350	89503	1703	305	563	4067	2604
FAXDC2	62	266	914	111	29	58	54	234
CNOT8	1311	493	15309	334	55	156	781	610
GEMIN5	1566	366	14336	320	62	96	706	468
MRPL22	6953	1780	93202	1437	259	485	4009	2078
KIF4B	8	6	110	4	0	2	9	5
SGCD	2	44	78	37	25	22	7	64
PPP1R2B	6	1	21	1	0	1	1	1
TIMD4	0	0	14	0	0	0	0	3
HAVCR1	1	3	0	1	0	0	0	1
HAVCR2	2	93	9	33	8	23	0	79
MED7	1581	436	16849	335	64	137	810	485
ITK	5	2	36	2	1	1	1	0
FAM71B	0	0	0	0	0	0	0	0
CYFIP2	924	784	10934	343	72	139	436	673
FNDC9	0	1	0	0	0	1	0	1
ADAM19	129	210	1191	173	39	49	111	234
NIPAL4	2	2	14	2	0	0	0	3
SOX30	9	70	44	19	19	12	4	34
C5orf52	0	9	1	1	0	0	0	0
THG1L	1324	374	13197	247	52	118	714	510
LSM11	154	104	1430	65	23	21	110	105
CLINT1	5376	1625	53514	1615	298	505	2668	2227
EBF1	11	695	169	126	31	52	10	257
RNF145	519	1113	6502	539	120	209	554	866
UBLCP1	2272	996	34154	681	147	309	824	1143
IL12B	0	1	3	0	0	0	1	0
ADRA1B	0	9	10	33	8	18	0	2
TTC1	5290	1386	69579	1325	205	427	2633	1943
PWWP2A	2227	1229	30157	969	207	424	1209	1761
FABP6	83	39	2926	32	3	14	99	79
CCNJL	278	340	4438	230	51	71	217	448
C1QTNF2	19	17	378	6	0	5	5	11
ZBED8	123	151	2067	62	12	22	101	111
SLU7	1503	615	24590	442	67	144	832	706
PTTG1	14578	6265	209550	4195	750	1604	10297	6427
ATP10B	1	12	8	4	0	2	1	12
GABRB2	15	85	68	149	12	7	34	84
GABRA6	0	7	0	1	3	0	1	0
GABRA1	0	4	28	1	1	0	2	1
GABRG2	101	47	1803	149	55	43	70	140
CCNG1	13857	3491	183138	2650	480	1000	7768	4936
NUDCD2	5863	1851	82305	1283	305	502	3584	2073
HMMR	5494	1814	59037	1455	218	575	3262	2328
MAT2B	1549	861	19967	373	85	212	921	761
TENM2	24	2498	243	608	350	666	16	918
WWC1	513	567	6173	602	85	193	398	725
RARS	4275	1375	54574	1190	167	403	2631	1704
FBLL1	84	7	884	5	3	1	23	17
PANK3	2145	942	23083	714	152	306	1281	1203
SLIT3	21	1502	358	987	131	270	28	513
SPDL1	2393	802	30212	642	102	218	1315	931
DOCK2	138	17	2376	43	1	4	57	113
INSYN2B	6	14	46	12	4	4	1	15
FOXI1	1	0	2	0	0	0	0	0
C5orf58	356	3	863	14	8	0	126	29
LCP2	10	1	132	1	0	0	8	4
KCNIP1	7	183	124	154	48	54	9	158
KCNMB1	17	11	414	9	0	1	12	13
GABRP	69	21	1139	654	37	111	45	131
RANBP17	722	2245	7641	1835	345	689	487	2166
TLX3	8	12	167	11	0	3	9	11
NPM1	133788	32221	1635871	35544	5018	12161	74097	53623
FGF18	230	147	455	70	7	33	84	219
SMIM23	0	3	0	0	0	0	0	0
FBXW11	1318	1731	21043	1386	222	507	992	1735
STK10	317	116	3608	137	30	43	93	241
EFCAB9	3	7	6	1	1	0	3	8
UBTD2	1040	1484	12052	978	214	385	519	1418
SH3PXD2B	926	967	9116	691	140	209	550	1020
NEURL1B	91	114	1423	62	16	20	56	95
DUSP1	581	320	5085	212	36	80	320	200
ERGIC1	1361	924	21216	751	112	266	888	1216
RPL26L1	4422	1727	62610	1252	236	454	2495	1961
ATP6V0E1	14524	1836	164700	2532	412	776	5618	3484
CREBRF	703	392	7680	233	33	101	369	397
BNIP1	991	290	12628	165	35	55	528	326
NKX2-5	21	14	82	9	1	2	2	7
STC2	1410	166	22916	362	39	204	774	546
BOD1	7348	2820	116121	2016	378	880	5349	3219
CPEB4	589	275	6004	257	44	102	326	391
C5orf47	26	4	386	10	5	1	17	21
NSG2	3	11	49	7	0	2	5	12
MSX2	228	2286	1094	1051	166	373	301	970
DRD1	4	1	28	1	0	0	2	1
SFXN1	1791	1528	20464	1039	175	394	1178	1662
HRH2	222	18	5766	44	16	12	115	124
CPLX2	30	59	85	61	20	34	9	78
THOC3	1902	942	24262	594	100	268	373	1294
FAM153B	0	2	4	7	2	0	5	3
SIMC1	201	1062	1753	369	127	157	143	743
KIAA1191	1614	548	21817	407	70	163	1002	654
ARL10	165	153	2135	66	24	39	80	77
NOP16	4199	293	79295	655	72	154	1994	819
HIGD2A	9360	2561	116549	1768	390	708	5675	3216
CLTB	2398	642	31883	620	104	207	1102	790
FAF2	2553	1238	29924	935	175	349	1418	1315
RNF44	1699	310	19550	301	58	107	888	503
CDHR2	0	17	17	5	2	1	0	20
GPRIN1	208	49	1450	32	4	9	72	39
SNCB	104	7	2250	31	5	20	71	33
EIF4E1B	15	0	98	11	0	0	4	2
TSPAN17	735	177	9648	127	31	82	470	244
UNC5A	29	15	254	8	4	2	9	14
HK3	0	1	2	1	0	0	0	4
UIMC1	1128	1018	13928	831	171	240	620	1074
ZNF346	422	410	6721	284	62	111	279	442
FGFR4	1495	76	15298	191	39	62	671	275
NSD1	6584	2740	54432	2625	533	738	3324	3921
RAB24	98	54	1489	25	5	14	59	39
MXD3	298	437	5576	126	38	84	238	364
PRELID1	28564	4404	332304	4813	789	1559	14720	7123
LMAN2	7370	1407	100311	1469	353	495	4516	2462
RGS14	923	120	10375	125	91	53	958	253
SLC34A1	2	0	5	0	0	1	1	1
PFN3	78	1	110	0	0	0	8	4
F12	1418	33	8893	95	28	33	534	258
GRK6	1984	421	22894	339	59	98	973	568
PRR7	1200	527	12979	230	70	115	820	469
DBN1	6686	1682	75166	1336	194	527	4072	2032
PDLIM7	1998	1679	31715	914	170	452	1012	1205
DOK3	56	20	786	36	3	8	22	52
DDX41	1435	315	18340	223	47	93	1110	471
FAM193B	453	369	6241	303	64	87	235	453
TMED9	10871	2237	167042	1870	330	755	5999	3364
B4GALT7	1210	333	18841	284	39	79	642	352
FAM153A	3	4	88	30	7	2	15	1
PROP1	0	0	0	1	0	0	0	0
N4BP3	1457	93	20428	174	22	69	598	303
RMND5B	3741	517	41302	574	134	167	1629	1079
NHP2	14811	3149	175171	2645	466	950	8120	4425
GMCL2	4	1	13	0	0	0	0	0
HNRNPAB	27389	5372	302088	5383	891	1987	14651	9061
PHYKPL	405	799	5090	427	74	140	288	683
COL23A1	101	590	2833	434	47	98	62	616
CLK4	402	332	4495	166	40	59	245	238
AC113348.1	0	2	0	0	0	0	0	0
ZNF354A	730	409	6906	278	52	76	428	396
ZNF354B	135	121	2275	85	21	33	79	141
ZFP2	20	154	284	53	9	28	17	114
ZNF454	416	4	3199	131	1	3	120	106
GRM6	7	2	30	3	0	1	0	7
ZNF879	144	71	1755	30	7	10	90	49
ZNF354C	161	337	1704	170	34	30	126	100
ADAMTS2	157	182	2215	97	12	47	60	181
RUFY1	1303	998	9629	615	127	231	609	956
HNRNPH1	15116	2928	161889	2504	456	1055	9345	4131
CBY3	0	21	16	14	4	0	2	14
CANX	14775	3448	201282	2978	611	1304	8890	5561
MAML1	1028	550	10740	445	99	184	541	576
LTC4S	79	96	1489	30	14	21	54	46
MGAT4B	2411	656	36793	416	87	140	1341	807
SQSTM1	7196	840	80038	1260	146	351	2186	1623
MRNIP	885	449	9854	323	75	119	733	463
TBC1D9B	777	334	10708	302	68	135	567	489
RNF130	2164	5204	32934	2267	672	1291	1650	4763
RASGEF1C	5	86	66	39	17	25	13	66
MAPK9	1770	580	18337	568	107	170	903	772
GFPT2	1776	217	23467	685	112	124	963	936
CNOT6	1023	1259	10962	874	164	336	634	1289
SCGB3A1	11	1	157	2	0	2	3	1
FLT4	42	56	757	13	11	7	34	47
OR2Y1	0	0	0	0	0	0	0	0
MGAT1	1124	353	13877	226	63	96	688	406
ZFP62	632	297	7205	189	41	80	494	259
BTNL8	3	2	47	5	1	0	0	7
BTNL3	0	1	0	1	0	0	0	1
BTNL9	55	2	318	6	6	3	15	22
OR2V1	0	0	1	0	0	0	0	0
OR2V2	0	0	0	0	0	0	0	0
TRIM7	10	3	73	0	0	1	1	4
TRIM41	381	136	5108	83	19	34	252	179
RACK1	182074	32194	2024731	30303	5504	11315	108564	47593
TRIM52	265	139	3110	80	21	19	194	115
OR4F3	0	0	0	0	0	0	0	0
DUSP22	543	267	11175	156	38	92	385	443
IRF4	27	7	295	6	2	0	7	20
EXOC2	1397	963	17203	844	157	254	506	1622
HUS1B	118	7	1244	16	0	3	22	14
FOXQ1	17	49	96	22	3	3	5	20
FOXF2	1	61	31	2	0	1	3	15
FOXC1	715	267	129	49	41	34	274	314
GMDS	1172	1027	18876	1058	239	326	586	1796
MYLK4	1	3	26	10	0	3	0	6
WRNIP1	1156	393	13755	286	72	144	564	462
SERPINB1	706	345	7243	225	68	46	487	271
SERPINB9	16761	598	239670	4776	464	447	7634	3122
SERPINB6	1638	425	21778	443	66	141	828	489
NQO2	4506	913	135752	1171	177	402	3853	1808
RIPK1	432	288	7331	335	58	88	280	371
BPHL	1415	594	14461	447	122	267	909	890
TUBB2A	20134	1413	249593	4290	456	646	10511	6121
TUBB2B	46025	8589	517373	14634	1882	2585	28679	14161
PSMG4	2464	660	34312	702	110	175	1783	942
SLC22A23	906	566	8619	972	208	327	543	1722
PXDC1	288	55	1555	69	19	28	139	109
FAM50B	238	91	3457	64	10	27	132	84
PRPF4B	3846	1817	43586	1370	250	515	2264	1956
FAM217A	1	44	0	28	4	5	1	42
C6orf201	0	11	14	4	0	0	0	5
ECI2	2554	1399	39397	889	259	336	2959	1336
CDYL	1983	1671	22486	1681	279	512	1229	2269
RPP40	1233	162	12570	163	30	71	592	291
PPP1R3G	8	9	104	3	2	2	6	10
LYRM4	4784	1969	57679	1291	268	568	3303	2212
FARS2	690	1719	7714	991	231	452	303	1503
NRN1	219	142	2931	78	17	95	161	103
F13A1	2	24	48	28	1	2	0	9
LY86	0	4	2	2	0	0	0	1
RREB1	1019	626	7462	631	142	211	564	876
SSR1	2888	777	32810	589	124	261	1732	1155
CAGE1	3	17	57	6	2	3	3	12
RIOK1	2438	521	25983	516	79	135	1195	672
DSP	4418	1111	16950	1949	276	605	2619	2232
SNRNP48	1323	557	20130	405	67	156	935	625
BMP6	18	71	173	32	12	20	20	56
TXNDC5	53	752	772	596	88	211	35	985
BLOC1S5	912	588	14048	389	80	154	530	690
EEF1E1	11677	2021	138383	2164	256	704	6734	3250
SLC35B3	335	351	4426	249	46	98	281	308
TFAP2A	105	368	481	506	33	152	207	180
GCNT2	1617	371	13467	761	101	232	630	843
C6orf52	53	73	696	29	4	23	38	47
PAK1IP1	5830	863	73085	1092	143	283	2564	1592
TMEM14C	12949	3854	173358	3287	536	1078	7341	4801
TMEM14B	14416	3534	145890	3066	537	1084	7353	3982
MAK	12	508	100	200	57	115	4	292
GCM2	0	2	8	0	0	0	0	0
SYCP2L	46	353	456	36	27	91	31	202
ELOVL2	28	130	801	49	10	37	6	90
SMIM13	805	192	7863	184	39	51	378	299
ERVFRD-1	1	0	4	2	1	0	0	0
NEDD9	45	834	456	240	65	115	33	351
TMEM170B	78	264	1294	101	29	43	76	153
ADTRP	7	2	39	4	0	1	8	8
HIVEP1	542	1212	4903	749	156	213	429	1283
EDN1	277	22	552	57	5	29	53	34
PHACTR1	227	831	3910	905	137	358	201	1075
TBC1D7	1522	575	23921	404	69	201	1112	670
GFOD1	150	101	2526	119	16	38	111	176
SIRT5	593	359	8807	275	39	103	378	380
NOL7	11384	2347	143787	2177	378	805	6131	3374
RANBP9	974	1149	10832	668	140	267	631	1158
MCUR1	4057	1231	49541	1202	139	431	2159	1598
RNF182	33	404	451	96	38	90	40	264
CD83	205	233	4438	126	33	98	147	178
JARID2	15778	2925	138730	6317	1276	2133	7996	13004
DTNBP1	811	625	12171	498	101	163	507	797
MYLIP	1193	315	9875	296	60	124	827	779
GMPR	54	140	543	150	11	21	24	176
ATXN1	346	874	3502	877	241	304	152	1066
STMND1	6	3	65	0	1	1	1	4
RBM24	43	152	224	36	8	22	22	60
CAP2	860	1252	7801	868	180	288	484	1077
FAM8A1	351	177	4091	116	20	44	223	194
NUP153	1886	1272	18147	1097	208	375	888	1405
KIF13A	701	1440	8037	1058	236	325	534	1599
NHLRC1	45	5	418	13	0	1	22	17
TPMT	1568	328	12829	355	66	138	1039	589
KDM1B	201	242	1729	130	42	57	125	269
DEK	19652	8240	218273	5570	1150	2424	13132	9745
RNF144B	126	26	1232	42	3	25	85	46
ID4	1418	2747	13720	1776	339	852	1349	1749
MBOAT1	553	55	4204	132	38	12	328	288
E2F3	1829	1061	19629	1222	192	390	1176	1661
CDKAL1	900	3106	8065	2097	416	750	552	3383
SOX4	24837	2986	330712	4634	746	1691	14248	8151
PRL	0	0	3	1	0	0	2	0
HDGFL1	147	1	56	0	0	0	34	4
NRSN1	4	5	34	2	2	2	0	4
DCDC2	58	42	2040	76	8	8	39	42
KAAG1	2	0	11	0	0	0	0	0
MRS2	10903	657	139261	1369	274	316	4561	2793
GPLD1	65	106	1266	58	9	20	101	99
ALDH5A1	45	151	1013	64	16	25	82	93
KIAA0319	15	20	243	18	1	2	16	34
TDP2	2099	525	27045	475	99	145	1052	821
ACOT13	8561	1422	109407	1568	299	447	4132	2866
C6orf62	2907	534	34042	618	108	234	1646	1048
GMNN	6366	2178	85051	1719	273	568	3303	2465
ARMH2	0	1	0	0	0	0	0	1
RIPOR2	171	116	1707	119	10	32	72	125
CARMIL1	1304	672	14345	886	175	280	843	1474
SCGN	0	8	16	7	1	0	2	4
HIST1H2AA	17	0	195	0	0	0	5	0
HIST1H2BA	1	0	27	0	0	0	0	0
SLC17A4	1	1	0	0	0	0	0	0
SLC17A1	0	0	0	1	0	0	0	0
SLC17A3	0	0	19	1	0	0	0	0
SLC17A2	0	1	0	0	0	0	0	0
TRIM38	182	14	2606	102	11	32	136	107
HIST1H1A	456	417	32787	348	69	311	420	1408
HIST1H3A	5	22	391	21	1	9	7	41
HIST1H4A	3	9	178	10	1	5	7	20
HIST1H4B	9	9	168	8	0	3	7	6
HIST1H3B	337	408	4320	156	40	54	176	293
HIST1H2AB	35	30	534	13	5	5	18	25
HIST1H2BB	3	25	50	12	3	0	1	1
HIST1H3C	1	30	26	17	9	1	0	2
HIST1H1C	1588	1255	13797	528	152	187	756	891
HFE	26	32	384	16	9	4	25	15
HIST1H4C	23693	7000	400969	3831	845	1408	12131	6607
HIST1H1T	3	2	110	0	0	0	2	2
HIST1H2BC	167	143	1426	75	10	29	88	84
HIST1H2AC	1024	776	6934	350	65	169	424	423
HIST1H1E	884	927	11702	379	100	145	472	581
HIST1H2BD	133	234	1292	95	32	41	96	165
HIST1H2BE	30	75	531	25	4	13	39	52
HIST1H4D	26	22	443	17	1	3	25	24
HIST1H3D	0	159	0	54	9	23	0	127
HIST1H2AD	1	38	10	12	4	8	0	24
HIST1H2BF	103	68	1019	50	9	18	58	49
HIST1H4E	130	112	1885	45	12	20	92	83
HIST1H2BG	142	109	931	55	9	9	73	80
HIST1H2AE	105	72	1365	32	7	11	63	57
HIST1H3E	44	75	567	59	8	7	36	66
HIST1H1D	2868	2768	28358	1394	280	440	770	1706
HIST1H4F	17	21	297	11	4	3	6	21
HIST1H4G	0	0	0	0	0	0	0	0
HIST1H3F	119	109	1314	35	7	23	65	98
HIST1H2BH	402	162	3766	117	4	41	179	141
HIST1H3G	322	317	3866	124	25	53	137	195
HIST1H2BI	20	11	358	6	2	3	7	12
HIST1H4H	189	163	2112	120	18	47	107	120
BTN3A2	64	64	1003	21	5	14	56	33
BTN2A2	210	194	3512	79	26	33	149	144
BTN3A1	23	68	365	16	4	13	38	35
BTN3A3	4	24	110	4	1	2	3	10
BTN2A1	320	219	4959	125	38	43	181	207
BTN1A1	2	2	20	1	0	0	1	4
HMGN4	3982	818	42646	760	138	279	2101	1085
ABT1	2717	535	36682	529	91	178	1428	753
ZNF322	611	798	7889	687	127	244	267	965
HIST1H2BJ	248	110	1620	72	14	14	73	80
HIST1H2AG	228	234	2175	108	23	40	88	166
HIST1H4I	69	59	874	29	7	11	47	48
HIST1H2BK	21	31	514	9	5	6	28	24
HIST1H2AH	240	342	2651	131	25	52	131	217
PRSS16	289	9	5194	88	14	31	161	93
POM121L2	0	6	2	0	1	1	0	6
ZNF391	179	113	2220	81	12	30	64	108
ZNF184	229	144	2377	86	17	46	123	136
HIST1H2BL	58	19	382	19	1	6	11	21
HIST1H2AI	33	47	326	84	21	12	12	46
HIST1H3H	143	86	1178	56	10	27	57	69
HIST1H2AJ	43	52	639	18	5	6	24	36
HIST1H2BM	28	30	550	21	4	8	7	13
HIST1H4J	18	19	215	12	1	10	8	24
HIST1H4K	0	1	0	0	1	0	0	0
HIST1H2BN	206	233	1193	166	18	24	119	148
HIST1H2AK	48	43	479	18	1	8	18	16
HIST1H2AL	91	78	1172	35	4	11	26	39
HIST1H1B	1439	842	14343	428	97	157	413	554
HIST1H3I	51	35	531	15	3	9	4	32
HIST1H4L	5	12	46	8	1	4	0	7
HIST1H3J	51	200	656	133	16	41	26	191
HIST1H2AM	46	34	685	12	6	10	23	21
HIST1H2BO	20	18	222	4	0	4	10	11
OR2B2	0	0	1	0	0	0	0	0
OR2B6	14	15	439	7	1	0	5	2
ZNF165	457	30	7675	81	13	21	221	100
ZSCAN16	454	131	6202	118	28	41	258	173
ZKSCAN8	307	336	3543	209	49	77	209	281
ZSCAN9	384	259	4282	175	30	61	298	284
ZKSCAN4	266	94	4131	65	12	24	203	137
NKAPL	228	10	3127	6	1	3	33	35
ZSCAN26	386	307	4471	223	38	113	195	269
PGBD1	438	354	6666	259	57	102	259	334
ZSCAN31	136	69	1127	51	12	21	107	51
ZKSCAN3	198	79	2574	78	10	30	109	94
ZSCAN12	203	288	1993	126	41	59	104	199
ZSCAN23	30	278	291	95	19	49	25	151
GPX6	0	4	1	1	0	0	0	0
GPX5	0	1	0	0	0	0	0	0
ZBED9	13	134	61	72	17	20	4	89
TRIM27	36	591	628	582	100	205	37	868
ZNF311	9	92	227	7	6	32	11	48
OR2W1	0	0	0	0	0	0	0	0
OR2B3	0	0	0	0	0	0	0	0
OR2J1	0	0	0	0	1	0	0	0
OR2J3	0	1	0	0	0	0	0	1
OR2J2	0	0	0	0	0	2	0	0
OR14J1	0	1	0	0	0	0	0	1
OR5V1	0	2	0	0	0	0	0	0
OR12D3	0	0	0	0	0	0	0	0
OR12D2	0	0	0	0	0	0	0	0
OR11A1	0	2	0	0	0	0	0	0
OR10C1	0	0	0	0	0	0	0	0
OR2H1	0	1	0	0	0	0	0	0
MAS1L	0	0	0	0	0	0	0	0
OR2I1P	0	0	0	0	0	0	0	0
UBD	0	0	0	0	0	0	0	0
GABBR1	29	390	377	682	79	161	14	623
OR2H2	0	3	0	13	2	1	0	24
MOG	8	1	63	13	2	5	1	35
ZFP57	18	13	32	15	4	8	2	13
HLA-F	26	6	857	17	2	5	16	34
HLA-G	2	3	224	18	0	7	1	18
HLA-A	425	780	7682	1198	304	591	149	2496
ZNRD1	2874	1304	29205	666	120	235	945	1256
PPP1R11	32	566	432	404	72	162	23	589
RNF39	0	6	1	5	1	2	0	20
TRIM31	0	1	0	0	0	2	0	2
TRIM40	0	0	0	0	0	0	0	0
TRIM10	0	0	2	0	0	0	0	0
TRIM15	0	3	9	2	0	0	0	2
TRIM26	94	419	959	370	104	155	49	597
TRIM39	4	90	16	76	12	34	2	90
RPP21	331	1416	4769	1233	257	473	193	1767
HLA-E	57	244	1142	304	56	114	60	421
GNL1	364	416	5633	358	59	131	152	538
PRR3	11	376	71	168	37	85	0	235
ABCF1	5022	1579	64694	1679	236	603	2847	2336
PPP1R10	1171	1393	12305	1004	209	347	613	1584
MRPS18B	34	867	776	741	131	253	28	1275
ATAT1	55	461	1143	235	45	92	61	339
C6orf136	223	178	3758	140	26	47	148	231
DHX16	654	314	8743	244	42	93	398	401
PPP1R18	2	246	9	128	26	68	1	244
NRM	1	378	57	193	43	102	5	342
MDC1	114	836	1395	423	103	206	75	575
TUBB	468	23252	5582	17655	3231	6880	334	32115
FLOT1	820	826	13100	753	157	318	646	1380
IER3	48	285	167	596	151	155	107	1169
DDR1	12	628	141	360	91	168	3	523
GTF2H4	575	395	9168	306	42	102	414	443
VARS2	39	78	585	50	17	27	29	107
SFTA2	2	0	21	0	0	0	0	1
MUCL3	0	2	0	2	0	4	0	1
MUC21	0	2	0	0	0	0	0	0
MUC22	0	0	0	0	0	1	0	1
C6orf15	0	0	0	0	0	0	0	0
PSORS1C1	0	4	16	6	1	1	0	3
CDSN	0	0	0	3	0	0	0	0
PSORS1C2	0	1	0	9	0	0	0	5
CCHCR1	306	324	6787	323	35	86	206	390
TCF19	0	96	128	54	17	31	4	120
POU5F1	2652	2190	38440	13037	2057	2286	1947	21086
HLA-C	105	651	7840	729	150	298	41	1151
HLA-B	31	323	1012	220	37	89	22	424
MICA	170	87	2108	40	11	38	79	80
MICB	10	38	77	54	18	12	2	103
MCCD1	0	0	0	0	0	0	0	0
DDX39B	42	3578	976	3097	536	1348	34	5106
ATP6V1G2	1	49	16	29	4	18	0	46
NFKBIL1	2	456	48	215	55	114	5	370
LTA	0	0	0	0	0	0	0	1
TNF	0	0	0	2	1	0	0	1
LTB	1	3	2	12	0	1	0	10
LST1	0	1	17	1	0	0	0	1
NCR3	3	0	24	1	0	1	0	0
AIF1	159	45	6673	87	8	16	201	221
PRRC2A	1240	750	18869	787	160	235	640	1121
BAG6	1623	636	25422	492	83	166	977	809
APOM	185	184	2824	65	23	42	148	135
C6orf47	0	125	0	104	23	37	0	168
GPANK1	361	537	4597	389	60	182	277	710
CSNK2B	4565	2324	65536	1992	330	742	2605	3394
LY6G5B	0	36	0	26	10	7	0	42
LY6G5C	1	6	37	20	0	2	1	9
ABHD16A	3	412	59	274	63	94	1	391
LY6G6F	0	1	0	1	0	0	0	0
LY6G6E	0	0	0	1	0	0	0	0
LY6G6D	0	8	1	27	3	7	0	5
MPIG6B	0	4	0	4	0	2	0	20
LY6G6C	0	5	0	2	0	4	0	8
DDAH2	572	3231	9510	1254	350	652	532	2345
CLIC1	1377	4767	29611	4552	659	1278	649	6292
MSH5	4	570	80	221	76	103	4	378
SAPCD1	0	58	0	14	3	10	0	24
VWA7	0	6	6	3	0	1	0	4
VARS	737	468	7806	360	62	137	436	642
LSM2	190	3357	3699	2484	419	892	121	3923
HSPA1L	0	5	0	7	0	5	0	8
HSPA1A	0	810	5	455	63	189	1	790
HSPA1B	0	334	0	164	37	61	0	154
NEU1	19	447	305	499	70	136	10	790
SLC44A4	2	11	43	19	1	6	2	21
EHMT2	1759	1213	17749	941	200	358	1093	1238
C2	0	33	5	29	4	12	0	37
ZBTB12	0	108	1	63	12	25	0	73
CFB	1	3	1	1	1	3	0	2
NELFE	3632	1244	49922	1014	170	347	2417	1593
SKIV2L	198	111	2275	97	18	34	106	155
DXO	300	150	5778	117	16	42	182	181
STK19	17	474	604	282	37	98	10	357
C4A	0	0	0	0	0	0	0	0
C4B	0	0	0	0	0	0	0	0
CYP21A2	0	1	0	0	0	0	0	0
TNXB	7	38	179	24	4	11	5	62
ATF6B	26	355	429	189	38	68	19	283
FKBPL	0	144	5	133	32	46	1	204
PRRT1	0	13	1	12	0	2	0	12
PPT2	0	116	14	71	22	45	1	120
EGFL8	2	70	18	33	19	19	0	87
AGPAT1	31	653	397	482	73	181	19	766
RNF5	21	1846	780	1173	244	504	14	2331
AGER	11	30	265	9	2	7	9	31
PBX2	56	530	696	296	79	149	35	546
GPSM3	2	38	46	68	18	17	1	123
NOTCH4	0	49	1	26	3	14	0	38
TSBP1	0	70	0	66	11	19	0	71
BTNL2	0	6	0	1	0	0	0	3
HLA-DRA	2	6	397	18	1	11	14	26
HLA-DRB5	1	9	6	3	0	1	0	1
HLA-DRB1	18	67	459	53	30	11	52	74
HLA-DQA1	0	3	0	1	3	0	125	4
HLA-DQB1	232	34	66	43	80	19	2729	140
HLA-DQA2	0	0	0	0	0	0	0	0
HLA-DQB2	0	0	7	0	0	2	0	1
HLA-DOB	0	1	1	1	1	0	0	1
TAP2	1	28	30	31	5	11	0	46
PSMB8	91	15	3856	119	12	23	88	123
PSMB9	19	6	924	6	2	4	19	9
TAP1	2	5	76	22	3	8	1	38
HLA-DMB	2	16	192	20	5	2	9	25
HLA-DMA	88	75	2177	249	16	36	89	102
BRD2	532	951	6418	754	124	309	309	1313
HLA-DOA	9	18	203	35	8	22	8	62
HLA-DPA1	16	7	342	29	3	2	19	16
HLA-DPB1	316	97	3503	155	28	29	98	194
COL11A2	2	10	31	5	4	1	0	8
RXRB	13	147	106	61	13	18	2	145
SLC39A7	840	1148	10467	707	122	290	528	1245
HSD17B8	165	233	2635	45	19	40	135	125
RING1	25	472	573	200	52	102	33	355
