ecto_rep1	ecto_rep2	ecto_rep3	ecto_rep4	ecto_rep5	ecto_rep6
Gulp1	34	15	7	7	8	7
Col3a1	14	16	11	9	4	9
Col5a2	5	2	4	2	0	4
Wdr75	183	102	50	55	54	74
Slc40a1	57	48	14	10	17	16
Dnah7b	3	4	1	4	1	0
Slc39a10	178	146	45	51	77	75
Gm28151	5	0	1	0	1	1
Gm28826	0	0	0	0	0	0
Tmeff2	9	7	3	0	2	2
Cavin2	124	90	23	18	47	40
X1700072G22Rik	2	0	0	0	0	0
Nabp1	112	79	33	18	38	31
Gm17767	0	2	0	0	1	1
Myo1b	139	79	28	30	51	50
Stat4	0	0	0	0	0	0
Gm31812	2	4	0	0	1	2
Stat1	73	59	21	25	23	23
Gls	630	375	96	107	137	171
Nab1	233	162	41	37	55	50
Nemp2	6	11	4	4	5	5
Mfsd6	73	35	13	5	17	16
Inpp1	37	26	11	4	12	10
Hibch	73	59	24	16	31	34
X1700019D03Rik	11	7	2	4	5	3
X1700019A02Rik	0	0	0	0	2	0
Pms1	28	16	7	7	11	12
Ormdl1	147	82	24	32	43	57
Osgepl1	29	28	10	5	26	17
Gm28551	1	0	0	0	0	0
Asnsd1	121	79	24	33	54	64
Dnah7a	1	0	0	2	1	0
Stk17b	118	101	18	17	25	25
Hecw2	4	7	2	0	4	4
Ccdc150	1	5	0	1	1	0
Gtf3c3	52	39	9	14	20	30
Pgap1	44	46	13	16	26	29
Ankrd44	19	14	2	4	2	8
Sf3b1	980	640	256	275	343	407
Coq10b	370	230	55	36	89	69
Hspd1	1446	863	401	399	621	593
Hspe1	2246	1493	649	693	960	927
Mob4	405	275	81	89	139	130
Rftn2	0	1	0	0	0	2
Gm10561	0	0	1	0	0	0
Mars2	24	4	5	6	7	5
Boll	3	3	0	0	1	1
Plcl1	10	6	3	1	4	5
Satb2	2	2	0	2	3	0
X4930558J18Rik	2	2	1	0	0	1
X1700066M21Rik	11	6	0	1	2	5
Tyw5	51	35	14	14	19	23
Maip1	202	122	39	29	57	78
Spats2l	106	83	28	35	45	40
Kctd18	28	24	10	9	11	13
Sgo2a	86	54	28	37	43	36
Aox3	33	42	5	1	4	1
Aox4	0	0	0	0	0	0
Bzw1	1283	793	292	230	396	389
Clk1	227	153	47	37	73	95
Ppil3	120	74	31	37	43	45
Nif3l1	63	40	21	19	20	25
Orc2	116	68	33	41	49	48
Gm15834	2	3	0	2	1	1
Fam126b	75	39	18	11	20	24
Ndufb3	605	467	166	161	232	265
Cflar	43	36	12	12	20	15
Casp8	83	55	19	20	30	24
Trak2	34	16	7	2	13	9
Stradb	35	26	9	8	9	12
Tmem237	85	61	25	21	43	37
G730003C15Rik	8	5	0	5	1	2
Mpp4	0	1	0	0	0	1
Als2	21	6	3	6	6	7
Fzd7	57	31	23	22	35	31
Gm26813	0	0	0	0	0	0
Gm973	4	6	1	4	1	1
Sumo1	907	583	241	215	307	352
Nop58	587	425	191	176	268	244
Bmpr2	201	129	52	45	70	76
Fam117b	80	56	21	25	30	33
Ica1l	3	3	0	1	1	0
Wdr12	125	109	38	42	69	70
Carf	17	14	4	3	6	12
Nbeal1	247	182	61	60	85	81
Cyp20a1	55	35	9	19	18	22
Abi2	69	50	25	18	33	27
Raph1	66	55	18	29	28	35
Icos	0	0	0	0	0	0
Pard3b	20	14	7	6	6	10
Pard3bos1	0	0	0	1	0	0
Nrp2	88	51	16	11	17	18
Ino80d	141	86	26	24	40	49
Ino80dos	8	3	5	0	0	1
Gm20342	23	23	11	12	7	8
Ndufs1	153	126	38	28	52	65
Eef1b2	6965	4706	1551	1589	2414	2361
Gpr1	0	0	0	0	0	0
Zdbf2	219	130	74	55	100	106
Adam23	1	5	1	1	1	3
Mdh1b	1	2	0	0	0	1
Fastkd2	67	37	13	22	30	23
Klf7	312	219	48	49	93	80
Gm26649	7	2	1	0	0	0
Creb1	145	93	46	50	60	64
Mettl21a	38	30	7	9	15	13
Ccnyl1	65	46	19	12	18	19
Fzd5	32	36	8	7	13	9
Plekhm3	22	13	4	6	7	8
Cryge	0	0	0	0	0	0
Crygd	1	1	1	0	0	0
Crygc	1	1	0	0	0	0
Crygb	0	0	0	0	0	0
Cryga	0	0	0	0	0	0
D630023F18Rik	5	8	3	0	4	0
Idh1	120	94	34	36	49	49
Pikfyve	62	30	20	15	32	16
Map2	9	10	1	4	6	3
Unc80	0	0	1	1	0	1
Rpe	84	47	20	26	34	40
Kansl1l	44	18	10	8	5	9
Acadl	879	585	121	131	216	208
Myl1	2	2	0	1	1	0
Lancl1	117	98	37	29	40	31
Erbb4	1	3	0	0	0	0
Ikzf2	292	265	68	43	114	97
Spag16	2	0	0	0	1	0
Bard1	27	13	7	19	11	9
Atic	165	110	48	38	55	87
Fn1	242	149	93	79	105	145
Apol7d	5	5	3	2	0	0
Mreg	9	10	1	5	5	2
D230017M19Rik	8	6	1	3	3	5
Pecr	44	30	5	11	24	13
Tmem169	0	1	0	0	0	0
Xrcc5	126	100	34	23	41	47
Smarcal1	26	26	5	10	6	16
Gm39662	0	0	0	0	0	0
Rpl37a	5506	4863	1746	1692	2579	2522
Igfbp2	1780	1049	594	449	772	786
Igfbp5	2423	1912	1005	884	1231	1342
C530043A13Rik	2	0	0	0	1	0
X6030407O03Rik	1	0	2	1	0	0
Tns1	19	7	2	4	3	3
Rufy4	0	0	0	0	0	0
Arpc2	1775	1148	354	308	524	572
Gpbar1	1	0	1	1	0	0
Aamp	389	297	85	98	134	156
Pnkd	283	174	79	78	111	112
Tmbim1	279	191	32	26	53	57
Catip	2	1	1	3	4	2
Slc11a1	1	0	0	0	1	0
Ctdsp1	57	31	20	10	25	25
Vil1	1	1	1	0	2	6
Usp37	72	42	20	20	37	35
Cnot9	63	42	22	21	30	33
Plcd4	6	3	3	1	1	2
Zfp142	25	13	6	5	7	4
Bcs1l	31	22	4	11	14	16
Rnf25	36	27	15	11	14	16
Stk36	2	6	4	2	1	0
Ttll4	34	23	16	14	21	21
Cyp27a1	2	0	0	0	2	0
Prkag3	1	0	0	0	0	0
Wnt6	358	179	78	88	127	90
Wnt10a	63	47	11	8	17	13
Cdk5r2	0	1	0	0	0	0
Fev	0	1	0	0	0	0
Ihh	2	4	1	1	5	1
Nhej1	11	8	4	1	4	6
Slc23a3	4	2	1	1	0	0
