meso_rep1	meso_rep2	meso_rep3	meso_rep4	meso_rep5	meso_rep6
Gulp1	103	41	39	32	26	33
Col3a1	4969	2812	1818	1592	1306	1314
Col5a2	462	231	219	176	167	185
Wdr75	312	112	130	151	94	97
Slc40a1	71	55	25	31	15	19
Dnah7b	6	6	8	3	1	3
Slc39a10	240	107	133	139	109	75
Gm28151	2	1	3	0	2	0
Gm28826	0	0	0	0	0	0
Tmeff2	8	4	4	0	3	1
Cavin2	74	30	28	23	24	36
X1700072G22Rik	0	0	1	0	1	0
Nabp1	110	54	45	28	30	30
Gm17767	1	0	1	2	1	0
Myo1b	306	141	167	145	94	89
Stat4	3	1	1	1	1	1
Gm31812	2	2	0	1	2	1
Stat1	102	35	57	42	25	35
Gls	521	203	259	209	94	115
Nab1	200	95	72	72	36	45
Nemp2	16	10	9	7	4	6
Mfsd6	6	3	1	3	1	1
Inpp1	30	22	24	13	17	14
Hibch	82	36	34	46	25	20
X1700019D03Rik	4	1	1	4	3	3
X1700019A02Rik	2	1	0	0	0	0
Pms1	36	17	15	26	14	12
Ormdl1	88	43	54	56	24	48
Osgepl1	44	19	34	29	18	21
Gm28551	1	1	0	0	0	0
Asnsd1	218	95	94	90	63	77
Dnah7a	6	2	1	4	1	3
Stk17b	137	42	49	38	22	31
Hecw2	21	13	8	9	4	11
Ccdc150	1	1	1	1	0	0
Gtf3c3	76	31	36	32	37	20
Pgap1	40	21	13	23	15	17
Ankrd44	35	17	20	19	10	9
Sf3b1	1516	649	750	654	447	493
Coq10b	540	198	188	179	109	102
Hspd1	3110	1216	1431	1365	924	933
Hspe1	4058	1655	1947	1904	1312	1293
Mob4	478	220	180	191	150	132
Rftn2	18	10	13	8	4	9
Gm10561	5	4	4	3	1	5
Mars2	33	17	6	10	8	4
Boll	3	0	1	0	0	0
Plcl1	23	19	8	6	9	9
Satb2	13	2	6	0	2	2
X4930558J18Rik	6	3	1	1	3	1
X1700066M21Rik	14	8	4	3	5	3
Tyw5	79	26	41	34	21	30
Maip1	259	122	128	113	92	93
Spats2l	328	220	130	124	112	93
Kctd18	47	23	21	14	24	19
Sgo2a	165	78	104	82	58	46
Aox3	1	2	2	0	0	0
Aox4	5	0	6	1	0	1
Bzw1	2118	846	805	786	528	575
Clk1	318	163	143	128	106	102
Ppil3	169	59	75	69	59	42
Nif3l1	77	36	49	47	30	41
Orc2	222	82	103	101	73	57
Gm15834	2	1	4	2	0	0
Fam126b	66	42	40	16	21	26
Ndufb3	792	338	388	356	279	254
Cflar	74	26	35	36	35	29
Casp8	38	21	21	15	9	10
Trak2	68	36	33	25	15	17
Stradb	27	13	19	18	8	10
Tmem237	158	63	60	68	57	40
G730003C15Rik	10	5	2	3	5	2
Mpp4	3	1	1	1	1	1
Als2	19	6	12	6	8	6
Fzd7	176	69	97	84	67	49
Gm26813	2	1	1	0	0	0
Gm973	1	0	0	1	2	0
Sumo1	1552	594	671	655	473	466
Nop58	1029	492	570	535	393	410
Bmpr2	319	133	131	110	89	86
Fam117b	142	44	69	65	39	55
Ica1l	3	4	4	0	1	2
Wdr12	278	121	138	151	93	101
Carf	23	13	7	12	10	8
Nbeal1	180	85	80	99	60	65
Cyp20a1	164	77	58	74	47	47
Abi2	226	93	102	92	52	67
Raph1	186	92	103	85	59	61
Icos	1	0	1	0	0	0
Pard3b	43	15	20	14	16	12
Pard3bos1	3	3	1	0	1	1
Nrp2	183	75	148	151	90	108
Ino80d	113	65	43	58	38	36
Ino80dos	7	5	5	5	6	3
Gm20342	31	15	19	11	6	6
Ndufs1	221	105	101	83	68	69
Eef1b2	9588	4186	4214	4175	3192	3011
Gpr1	0	1	2	0	0	0
Zdbf2	612	245	405	346	245	240
Adam23	17	4	15	14	14	14
Mdh1b	2	1	0	0	0	0
Fastkd2	82	38	35	39	35	26
Klf7	311	162	114	116	85	96
Gm26649	8	0	2	2	2	2
Creb1	177	65	83	61	63	55
Mettl21a	73	29	23	26	27	20
Ccnyl1	72	33	28	36	11	12
Fzd5	43	8	18	14	9	7
Plekhm3	17	7	15	9	4	13
Cryge	2	1	0	0	0	0
Crygd	0	0	0	0	0	0
Crygc	1	0	0	0	0	0
Crygb	1	0	2	0	0	0
Cryga	0	0	0	0	0	0
D630023F18Rik	9	0	0	1	0	0
Idh1	171	66	88	90	61	57
Pikfyve	83	35	58	33	36	32
Map2	28	12	8	8	1	3
Unc80	2	2	2	1	0	0
Rpe	67	33	36	27	28	25
Kansl1l	60	21	18	22	22	16
Acadl	263	158	124	88	84	87
Myl1	6	2	2	1	0	1
Lancl1	108	54	43	55	36	44
