pluri_rep1	pluri_rep2	pluri_rep3	pluri_rep4	pluri_rep5	pluri_rep6
Bivm	55	52	14	21	17	24
Ercc5	270	175	69	87	92	105
Gulp1	11	13	1	4	3	1
Col3a1	40	17	14	12	15	13
Col5a2	14	8	4	3	7	4
Wdr75	1430	945	450	466	517	518
Slc40a1	43	31	14	11	17	14
Dnah7b	5	5	6	0	2	1
Slc39a10	517	358	138	140	178	175
Gm28151	5	0	1	2	0	2
Gm28826	0	0	1	0	0	0
Tmeff2	7	3	1	0	3	0
Cavin2	3	1	0	0	2	1
X1700072G22Rik	0	0	0	0	0	0
Nabp1	236	132	94	86	86	90
Gm17767	1	1	2	1	0	0
Myo1b	646	401	170	158	186	181
Stat4	62	50	22	30	26	35
Gm31812	1	3	1	0	3	0
Stat1	50	30	29	21	14	22
Gls	612	391	220	234	185	186
Nab1	125	52	28	25	24	24
Nemp2	27	17	11	13	14	8
Mfsd6	10	8	5	2	4	6
Inpp1	30	24	6	6	15	11
Hibch	188	165	59	65	68	67
X1700019D03Rik	319	187	118	97	125	109
X1700019A02Rik	115	88	14	22	25	41
Pms1	136	110	50	49	45	56
Ormdl1	225	139	58	72	88	76
Osgepl1	144	87	46	56	51	73
Gm28551	0	0	2	0	0	0
Asnsd1	420	251	123	109	152	130
Dnah7a	51	39	15	17	21	18
Stk17b	330	219	112	143	110	109
Hecw2	47	33	14	14	16	16
Ccdc150	3	5	0	5	1	4
Gtf3c3	217	183	79	90	84	75
Pgap1	414	276	145	147	137	150
Ankrd44	29	15	13	6	4	7
Sf3b1	3999	2514	1375	1364	1496	1611
Coq10b	336	202	102	117	110	129
Hspd1	11809	7457	3600	3812	4223	4223
Hspe1	15748	10346	5116	5457	6194	6176
Mob4	809	518	238	277	301	282
Rftn2	20	20	5	9	3	4
Gm10561	1	1	0	1	0	0
Mars2	82	64	19	33	28	23
Boll	48	15	10	15	11	12
Plcl1	3	3	1	2	2	1
Satb2	6	1	4	3	2	4
X4930558J18Rik	17	20	4	12	9	3
X1700066M21Rik	18	25	13	9	14	7
Tyw5	204	116	49	61	69	62
Maip1	517	291	138	150	161	179
Spats2l	37	14	12	15	13	18
Kctd18	117	92	45	40	66	46
Sgo2a	1692	1152	584	582	619	673
Aox3	38	31	9	15	8	19
Aox4	9	6	6	1	5	7
Bzw1	4335	2373	1241	1227	1351	1403
Clk1	568	428	244	228	224	231
Ppil3	445	250	116	160	165	152
Nif3l1	332	202	127	101	131	136
Orc2	978	623	306	274	317	309
Gm15834	3	2	1	1	2	3
Fam126b	147	96	47	50	53	48
Ndufb3	1479	976	495	527	592	557
Cflar	16	18	7	8	11	14
Casp8	11	10	7	4	4	12
Trak2	107	53	38	35	38	46
Stradb	43	19	9	21	18	14
Tmem237	299	231	89	120	118	106
G730003C15Rik	13	7	1	2	3	4
Mpp4	9	0	3	4	3	3
Als2	113	66	38	34	23	41
Fzd7	187	108	47	47	54	59
Gm26813	1	0	0	0	0	0
Gm973	24	14	7	12	12	11
Sumo1	3386	2167	966	1067	1206	1213
Nop58	4408	2801	1589	1530	1801	1825
Bmpr2	178	89	39	66	52	50
Fam117b	365	219	108	118	133	133
Ica1l	29	18	10	4	6	6
Wdr12	1518	1013	508	474	626	586
Carf	29	35	15	10	11	14
Nbeal1	405	233	123	114	135	127
Cyp20a1	195	119	47	66	68	76
Abi2	403	255	114	106	131	120
Raph1	466	345	183	162	185	179
Icos	0	0	0	0	0	0
Pard3b	8	5	1	3	1	4
Pard3bos1	0	0	0	0	0	0
Nrp2	80	59	38	39	38	44
Ino80d	268	188	89	102	120	140
Ino80dos	13	9	7	6	5	6
Gm20342	85	60	24	29	27	27
Ndufs1	691	437	188	175	229	231
Eef1b2	29425	19286	9700	10303	11647	11254
Gpr1	1	2	0	3	2	1
Zdbf2	656	429	204	221	224	232
Adam23	54	34	22	10	20	24
Mdh1b	2	4	0	1	1	1
Fastkd2	302	191	111	109	124	93
Klf7	199	131	54	70	85	73
Gm26649	2	1	0	1	2	0
Creb1	210	125	52	68	51	82
Mettl21a	75	40	28	22	29	22
Ccnyl1	124	78	28	31	34	49
Fzd5	169	109	64	63	41	42
Plekhm3	94	69	27	28	34	37
Cryge	6	3	0	5	0	0
Crygd	15	8	5	4	11	13
Crygc	11	7	5	9	5	6
Crygb	0	0	0	0	0	0
Cryga	4	7	3	3	3	2
D630023F18Rik	112	73	40	38	42	53
Idh1	389	278	112	136	135	141
Pikfyve	273	197	102	113	115	123
Map2	26	20	8	8	8	9
Unc80	4	2	1	0	0	1
Rpe	548	319	168	158	181	163
Kansl1l	70	36	24	19	18	18
Acadl	392	280	128	141	161	139
Myl1	2	4	0	0	2	0
Lancl1	284	164	88	88	106	114
Erbb4	0	0	1	0	0	0
Ikzf2	6	12	1	2	2	4
Spag16	10	7	9	4	8	8
Bard1	203	156	60	80	77	78
Atic	866	537	259	288	330	330
Fn1	2532	1746	990	915	863	993
Apol7d	25	16	12	14	5	11
Mreg	494	296	157	177	169	191
D230017M19Rik	26	20	12	7	13	13
Pecr	295	195	81	105	134	121
Tmem169	2	1	0	0	0	0
Xrcc5	1072	717	294	330	303	361
Smarcal1	113	68	39	46	41	46
Gm39662	0	2	2	0	0	0
Rpl37a	15192	12886	7426	8283	8530	8191
Igfbp2	8518	5097	3230	3280	3483	3394
Igfbp5	75	70	38	21	36	35
C530043A13Rik	0	0	0	0	1	1
X6030407O03Rik	1	0	0	1	0	0
Tns1	12	14	6	4	7	4
Rufy4	1	0	0	0	0	0
Arpc2	2806	1574	817	784	1046	973
Gpbar1	4	2	0	3	2	1
Aamp	1168	774	374	366	461	491
Pnkd	1044	731	393	419	476	433
Tmbim1	95	62	33	32	50	25
Catip	6	5	1	1	4	4
Slc11a1	27	10	7	4	7	8
Ctdsp1	36	26	9	13	11	15
Vil1	8	9	6	4	9	6
Usp37	553	361	177	184	188	206
Cnot9	401	270	113	133	157	142
Plcd4	14	16	11	4	7	17
Zfp142	159	91	46	50	48	56
Bcs1l	97	67	33	45	42	41
Rnf25	88	53	24	30	32	40
Stk36	26	14	8	8	8	8
Ttll4	167	121	68	57	74	69
Cyp27a1	8	6	2	1	4	5
Prkag3	2	2	2	0	1	0
Wnt6	10	5	2	2	2	6
Wnt10a	2	1	3	0	0	2
Cdk5r2	6	4	2	2	1	2
Fev	1	0	0	0	1	0
Ihh	3	1	1	1	0	3
Nhej1	88	38	20	27	33	24
Slc23a3	1	1	0	1	3	1
Cnppd1	84	58	32	31	51	37
Retreg2	131	91	47	34	49	40
Zfand2b	165	112	40	47	48	56
Abcb6	89	51	29	30	30	22
Atg9a	37	32	15	15	15	16
Ankzf1	168	123	64	83	83	77
Glb1l	9	7	2	5	4	3
Stk16	268	172	96	88	110	89
Tuba4a	583	307	199	208	208	180
Dnajb2	38	31	21	19	21	10
Ptprn	54	7	18	12	6	18
Resp18	0	0	1	0	0	0
Dnpep	577	468	257	219	302	303
Des	70	47	35	41	33	28
Speg	13	11	8	10	9	4
Gmppa	94	66	34	35	40	39
Asic4	0	0	1	0	0	0
Chpf	62	41	24	16	33	27
Obsl1	43	43	14	19	21	18
Tmem198	2	3	2	0	2	0
Inha	1	1	3	0	2	1
Stk11ip	52	41	15	20	16	22
Slc4a3	22	11	9	3	7	12
Epha4	130	89	59	63	52	67
Gm28386	1	0	1	0	2	0
Pax3	4	2	0	0	0	0
Sgpp2	6	4	3	2	2	2
Farsb	492	346	144	168	199	189
Mogat1	0	0	0	0	0	0
X5730419F03Rik	6	3	3	3	0	3
Acsl3	688	487	205	196	250	225
Utp14b	332	240	124	137	100	119
Kcne4	0	1	0	0	0	0
Scg2	2	7	1	1	0	0
Ap1s3	34	20	9	8	9	13
Wdfy1	516	325	167	194	203	223
Mrpl44	406	258	117	142	142	153
Serpine2	201	110	79	105	76	70
Cul3	1249	756	351	371	400	367
Dock10	3	2	0	0	1	1
Nyap2	0	0	0	0	0	0
Irs1	5	3	2	3	3	1
Rhbdd1	24	14	6	9	4	11
Gm28940	0	0	0	0	1	0
Col4a4	1	0	0	0	1	1
Mff	728	444	204	239	280	236
Tm4sf20	0	0	0	0	0	0
Agfg1	694	454	227	228	266	230
A030005L19Rik	6	1	3	0	1	3
A030014E15Rik	0	0	1	0	0	0
Slc19a3	3	5	0	5	0	2
Ccl20	2	0	1	2	1	3
Daw1	0	0	0	0	0	0
Sphkap	2	3	1	0	1	5
Pid1	120	71	42	31	53	43
Dner	28	19	18	19	17	11
Trip12	2376	1459	862	775	789	838
Fbxo36	87	64	38	38	35	37
Slc16a14	1	3	1	1	0	0
C130026I21Rik	1	1	1	2	1	2
Sp110	6	0	0	0	4	3
Sp140	10	1	1	1	3	2
Sp100	2	3	1	0	3	4
A630001G21Rik	1	1	1	0	0	1
Cab39	599	317	180	175	181	200
Itm2c	163	126	56	60	53	76
X4933407L21Rik	1	0	0	0	0	0
X2810459M11Rik	3	4	0	0	1	2
Psmd1	2364	1706	784	778	821	902
Armc9	97	68	22	27	45	30
B3gnt7	279	205	88	83	86	103
Gm28626	6	3	0	0	0	0
Ncl	34041	21411	11622	11969	12786	13275
Ptma	55552	33925	18290	18698	21393	21440
Pde6d	366	211	77	94	99	105
Cops7b	171	95	66	45	70	56
Nppc	15	6	4	5	3	3
Dis3l2	101	62	38	20	26	44
Ecel1	4	5	6	3	1	2
Prss56	5	4	2	0	4	5
Chrnd	1	4	3	1	1	1
Eif4e2	2677	1716	882	879	1052	1051
Efhd1	21	14	15	9	6	4
Gigyf2	808	556	272	260	299	299
Kcnj13	8	5	3	3	1	5
X3110079O15Rik	5	4	4	0	2	2
Ngef	7	2	2	0	3	3
Inpp5d	96	104	57	43	46	52
Atg16l1	255	184	91	82	95	89
Sag	10	9	6	7	2	4
Dgkd	222	132	66	73	78	56
Usp40	96	56	27	29	39	31
Dnajb3	30	17	6	3	10	10
Mroh2a	1	0	0	0	0	0
Hjurp	577	427	222	223	185	223
Spp2	3	1	4	1	26	16
Arl4c	153	94	41	51	35	58
Platr5	55	25	14	18	23	27
Sh3bp4	249	144	86	69	71	74
Agap1	206	132	75	82	69	86
Gbx2	20	12	6	2	8	4
Iqca	15	10	8	4	10	3
Ackr3	23	12	7	11	11	10
Gm28723	1	0	1	0	1	0
Cops8	920	565	288	279	354	342
Col6a3	7	3	2	2	2	2
Mlph	18	8	5	6	8	3
Rab17	8	9	3	4	5	6
Lrrfip1	321	211	123	104	124	124
Rbm44	185	97	52	65	47	54
Ramp1	4	2	0	4	1	1
Ube2f	411	250	120	120	159	144
Gm26683	0	2	0	0	0	0
Scly	37	18	10	8	13	15
Erfe	3	7	3	4	5	3
Ilkap	652	442	189	222	227	225
Hes6	246	187	92	97	91	104
Per2	3	1	3	2	0	0
Traf3ip1	215	135	69	88	86	83
Asb1	82	36	23	27	27	24
Twist2	3	0	2	1	1	1
Hdac4	157	103	51	46	58	58
Gm26720	7	3	5	1	1	4
Ndufa10	1555	1066	532	518	689	677
Cops9	482	391	236	231	278	257
Gpc1	31	21	8	9	11	10
Ankmy1	1	2	0	0	0	0
Dusp28	32	29	9	10	10	15
Rnpepl1	69	49	21	20	26	28
X9430060I03Rik	10	5	4	7	3	1
Capn10	124	82	38	42	55	50
Gpr35	3	0	0	0	0	2
Kif1a	57	42	12	29	26	22
X2310007B03Rik	1	2	2	0	0	0
Crocc2	0	0	0	1	1	0
Sned1	8	4	3	0	0	2
Mterf4	155	128	66	79	77	82
Gm28535	9	2	3	3	1	2
Pask	160	94	48	56	56	57
Ppp1r7	840	556	279	282	296	317
Hdlbp	2040	1284	591	610	680	698
Sept2	57	25	15	17	19	12
Farp2	21	13	7	9	8	10
Stk25	397	212	100	110	146	136
Bok	313	182	106	70	132	122
Thap4	219	152	96	79	85	111
Atg4b	409	267	113	125	132	154
Dtymk	3208	2048	945	1003	1170	1167
Ing5	648	443	279	266	257	265
D2hgdh	81	46	19	23	29	36
Fam174a	155	110	48	49	57	64
St8sia4	4	5	0	1	2	3
Slco4c1	36	19	9	8	8	9
Panct2	6	5	3	7	2	6
D1Ertd622e	86	60	18	38	28	22
Ppip5k2	357	258	127	113	117	128
Gin1	176	101	48	51	45	57
Pam	44	29	15	11	13	13
Gm7967	2	0	1	1	0	0
Cdh20	7	1	0	1	2	2
Rnf152	7	6	4	4	3	3
Pign	69	40	13	25	29	25
X2310035C23Rik	307	190	112	97	121	100
Tnfrsf11a	5	4	3	1	2	4
Gm7160	3	4	3	5	0	2
Zcchc2	91	52	41	27	26	36
Phlpp1	55	33	21	23	13	21
Bcl2	12	10	4	5	2	8
Kdsr	245	159	83	69	102	84
Vps4b	579	362	189	193	214	228
Serpinb5	3	1	1	1	1	1
Serpinb11	0	2	1	0	0	0
Serpinb2	1	0	0	0	0	0
Serpinb8	5	3	1	2	2	3
Gm15389	12	11	3	6	7	9
Cdh7	0	4	0	0	1	1
Dsel	45	21	19	20	21	17
X9330185C12Rik	87	67	47	52	42	35
Cntnap5a	0	0	0	0	0	0
Tsn	2904	1817	900	930	1107	1033
Nifk	1019	648	319	325	408	370
Clasp1	326	203	93	107	98	99
X2900060B14Rik	171	86	59	65	81	62
Tfcp2l1	394	291	158	168	179	173
Gli2	91	61	37	47	36	35
Inhbb	2	3	3	4	0	2
Ralb	382	275	121	106	175	157
Gm27184	2	0	0	0	0	0
Tmem185b	37	13	7	10	8	10
X3830432H09Rik	0	1	0	0	0	0
Epb41l5	326	215	85	81	108	112
Ptpn4	91	70	27	35	22	42
Tmem177	55	43	14	24	20	23
Sctr	4	2	2	2	1	1
Tmem37	209	143	74	79	83	87
Dbi	3387	2381	1170	1269	1377	1381
X3110009E18Rik	89	66	38	23	35	38
Steap3	60	48	20	17	32	35
En1	6	5	6	1	3	3
X2610027F03Rik	0	0	0	0	0	0
Insig2	128	78	35	43	60	63
Ccdc93	103	50	45	33	32	30
Htr5b	2	3	2	2	0	9
Ddx18	1627	1220	727	720	821	756
Dpp10	1	1	0	0	0	1
Actr3	1605	935	454	475	538	563
Slc35f5	41	21	6	14	17	12
Gpr39	1	0	0	0	0	1
Lypd1	6	4	1	3	4	1
Nckap5	1	3	1	1	1	1
Mgat5	47	26	9	19	19	21
Tmem163	1	3	0	1	1	1
X2900009J06Rik	9	9	3	4	6	3
Ccnt2	404	282	138	149	147	159
Rab3gap1	245	170	56	71	79	77
Zranb3	164	116	50	51	60	56
R3hdm1	713	461	237	232	235	273
Ubxn4	1683	1027	471	558	586	651
Mcm6	1984	1324	596	578	653	690
Dars	1369	917	368	404	437	444
Cxcr4	5	2	4	3	2	5
Thsd7b	0	0	0	0	0	1
Gm15675	2	1	3	1	1	0
Cd55	81	49	25	35	37	33
C4bp	0	0	0	1	0	0
