endoderm_NA18511	endoderm_NA18856	endoderm_NA18858	endoderm_NA18912	endoderm_NA19140	endoderm_NA19159	endoderm_NA19160	endoderm_NA19210
UBIAD1	214	62	41	50	5	4	337	45
DISP3	14	10	1	3	0	0	25	8
FBXO2	1051	414	848	314	31	9	2350	327
FBXO44	258	95	82	53	8	0	480	89
FBXO6	384	92	37	125	8	4	824	89
MAD2L2	1680	421	435	188	29	10	3106	305
DRAXIN	125	30	36	13	3	0	281	18
AGTRAP	1372	344	496	321	23	8	2585	249
C1orf167	7	5	6	3	1	0	32	4
MTHFR	137	49	52	48	4	2	309	38
CLCN6	131	125	37	99	10	8	236	100
NPPA	0	4	0	1	0	0	6	8
NPPB	75	0	111	33	5	0	40	8
KIAA2013	640	166	206	191	19	6	1145	124
PLOD1	486	122	199	106	9	9	805	81
MFN2	211	112	58	68	11	2	356	55
MIIP	748	166	156	167	16	9	1473	143
TNFRSF8	1	4	8	1	0	0	7	6
TNFRSF1B	7	1	3	6	1	1	26	2
VPS13D	172	300	40	357	27	8	283	270
DHRS3	775	298	73	211	34	15	1183	206
AADACL4	1	0	0	0	1	0	1	0
AADACL3	1	0	0	0	0	0	0	1
C1orf158	1	2	0	1	0	0	0	0
PRAMEF12	0	0	1	0	0	0	0	0
PRAMEF1	0	0	0	0	0	0	0	0
PRAMEF11	0	0	0	0	0	0	0	0
HNRNPCL1	2	0	0	0	0	0	2	0
PRAMEF2	0	0	0	0	0	0	0	0
PRAMEF4	0	0	0	0	0	0	0	0
PRAMEF10	0	0	0	0	0	0	0	0
PRAMEF7	0	0	0	0	0	0	0	0
PRAMEF6	0	0	0	0	0	0	0	0
PRAMEF27	0	0	0	0	0	0	0	0
HNRNPCL3	0	0	0	0	0	0	0	0
PRAMEF25	0	0	0	0	0	0	0	0
HNRNPCL2	0	0	0	0	0	0	0	0
PRAMEF26	0	0	0	0	0	0	0	0
HNRNPCL4	0	0	0	0	0	0	0	0
PRAMEF9	0	0	0	0	0	0	0	0
PRAMEF13	0	0	0	0	0	0	0	0
PRAMEF18	0	0	0	0	0	0	0	0
PRAMEF5	0	0	0	0	0	0	0	0
PRAMEF8	0	0	0	0	0	0	0	0
PRAMEF33	0	0	0	0	0	0	0	0
PRAMEF15	0	0	0	0	0	0	0	0
PRAMEF14	0	0	0	0	0	0	0	0
PRAMEF19	0	0	0	0	0	0	0	0
PRAMEF17	0	0	0	0	0	0	0	0
PRAMEF20	0	0	0	0	0	0	0	0
LRRC38	0	3	0	3	0	0	2	1
PDPN	339	123	155	158	12	14	755	93
PRDM2	439	263	123	202	17	13	750	261
KAZN	273	969	100	706	115	47	424	778
TMEM51	330	165	94	183	26	4	514	154
FHAD1	14	19	4	12	0	1	28	13
EFHD2	510	70	239	58	9	1	548	87
CTRC	0	0	0	0	0	0	0	2
CELA2A	0	0	0	1	0	0	0	0
CELA2B	0	4	0	1	0	0	0	4
CASP9	167	51	60	33	5	5	233	42
DNAJC16	263	150	74	131	15	7	586	99
AGMAT	583	173	4	178	21	3	1389	123
DDI2	362	197	120	151	19	5	744	109
RSC1A1	0	0	0	0	0	0	0	0
PLEKHM2	314	79	126	52	5	3	434	44
SLC25A34	4	4	2	0	0	0	5	2
TMEM82	69	26	1	14	2	3	111	12
FBLIM1	605	167	302	151	14	14	760	144
UQCRHL	176	41	62	49	5	1	321	42
SPEN	805	324	167	195	31	13	1320	268
ZBTB17	245	95	56	51	6	1	312	58
SRARP	111	34	0	22	3	1	203	23
HSPB7	5	0	27	0	0	0	16	0
CLCNKA	6	3	1	1	0	0	15	4
CLCNKB	11	2	3	1	0	2	29	2
FAM131C	25	3	12	4	1	0	50	4
EPHA2	261	85	64	78	0	3	273	82
ARHGEF19	184	46	101	21	2	6	467	18
CPLANE2	40	7	14	5	0	0	53	4
FBXO42	217	202	80	147	25	11	394	163
SZRD1	748	210	318	182	18	14	1267	172
SPATA21	1	12	0	9	0	0	3	11
NECAP2	563	144	204	104	14	8	999	93
NBPF1	177	108	34	55	9	2	250	63
CROCC	144	128	28	58	7	5	296	58
MFAP2	32	430	4	193	45	26	68	296
ATP13A2	399	74	123	57	9	2	624	76
SDHB	963	258	324	248	14	9	1449	177
PADI2	4	6	1	7	0	1	50	8
PADI1	0	0	0	0	0	0	0	0
PADI3	1	3	0	1	1	0	2	1
PADI4	0	0	1	3	0	0	0	2
PADI6	0	0	0	0	0	0	0	1
RCC2	1278	399	242	247	49	19	1933	324
ARHGEF10L	102	135	36	108	9	2	262	74
ACTL8	0	0	0	0	0	0	1	0
IGSF21	112	9	2	8	1	0	31	19
KLHDC7A	10	2	1	0	0	0	19	1
PAX7	15	4	13	4	0	1	31	26
TAS1R2	0	0	0	0	0	0	0	0
ALDH4A1	71	10	56	6	1	0	123	6
IFFO2	25	16	23	16	1	0	23	17
UBR4	775	294	197	285	31	13	1121	268
EMC1	373	108	95	76	12	7	629	70
MRTO4	1228	251	287	203	25	10	2120	208
AKR7A3	4	2	2	2	0	0	15	3
AKR7A2	1462	352	524	271	35	18	2457	235
SLC66A1	286	60	141	67	5	2	470	53
CAPZB	3783	1132	1294	1226	121	58	5743	1088
MICOS10	2387	813	548	818	136	38	3943	669
NBL1	129	11	53	15	0	1	80	9
HTR6	0	0	0	0	0	0	0	0
TMCO4	65	31	46	24	2	2	123	17
RNF186	1	0	0	0	0	0	0	0
OTUD3	189	80	44	71	11	3	268	53
PLA2G2E	0	0	0	0	0	0	0	0
PLA2G2A	690	2	109	5	0	0	734	4
PLA2G5	1	0	0	2	0	0	1	0
PLA2G2D	0	0	0	0	0	0	0	0
PLA2G2F	0	0	1	0	1	0	1	0
PLA2G2C	0	0	0	1	0	0	0	0
UBXN10	9	4	4	3	0	0	24	3
VWA5B1	1	3	0	1	0	0	0	3
CAMK2N1	2594	629	515	747	61	16	4831	441
MUL1	192	51	73	40	2	2	298	26
FAM43B	13	2	4	0	0	0	6	1
CDA	66	16	382	27	2	0	137	30
PINK1	331	91	283	81	8	3	483	73
DDOST	5614	947	1072	802	82	50	8746	699
KIF17	18	4	3	4	0	0	20	4
SH2D5	4	1	1	0	0	0	10	0
HP1BP3	1749	748	425	531	65	30	2848	496
EIF4G3	1082	1859	210	1506	181	80	1787	1800
ECE1	229	87	107	111	13	7	357	101
NBPF3	56	54	4	46	6	0	153	32
ALPL	914	365	59	315	47	14	1719	225
RAP1GAP	49	15	5	26	1	1	134	9
USP48	779	387	248	379	40	11	1324	294
LDLRAD2	8	4	2	3	0	0	8	2
HSPG2	445	163	110	140	13	14	922	133
CELA3B	2	1	0	4	0	0	0	0
CELA3A	2	0	0	0	0	0	2	0
CDC42	5424	1634	1575	1651	169	77	10272	1365
WNT4	76	5	86	3	0	0	119	6
ZBTB40	146	87	45	83	8	4	259	72
EPHA8	61	14	0	14	1	0	113	3
C1QA	0	0	0	0	0	0	0	0
C1QC	0	0	0	0	0	0	0	0
C1QB	0	0	0	0	0	0	0	0
EPHB2	213	104	41	68	9	11	316	87
LACTBL1	0	1	0	0	0	0	0	0
TEX46	0	2	0	2	0	0	1	2
KDM1A	1907	927	323	574	82	50	3863	549
LUZP1	895	404	260	363	33	31	1507	330
HTR1D	25	3	12	5	0	0	29	1
HNRNPR	5400	1674	1019	1313	162	71	9714	1203
ZNF436	37	13	15	8	0	0	71	9
TCEA3	392	97	4	148	12	2	982	109
ASAP3	121	131	33	84	9	10	346	82
E2F2	54	9	10	5	2	0	47	9
ID3	11100	2668	2606	2295	293	107	20034	1658
RPL11	75335	19685	16759	16259	1881	816	149824	15217
ELOA	453	109	106	85	15	3	631	98
PITHD1	1356	335	323	290	22	13	2405	269
LYPLA2	710	289	203	240	30	9	1061	248
GALE	1136	226	297	262	27	10	2007	186
HMGCL	487	154	168	115	7	10	875	117
FUCA1	335	66	118	95	10	4	566	47
CNR2	0	0	0	1	0	0	0	0
PNRC2	1284	577	275	401	39	38	2165	368
SRSF10	3238	914	520	723	105	55	5476	656
MYOM3	2	2	0	0	0	0	3	1
IL22RA1	1	0	1	0	0	0	6	1
IFNLR1	48	66	22	60	7	4	80	52
GRHL3	57	11	114	16	0	4	153	2
STPG1	104	43	38	29	3	3	183	23
NIPAL3	102	36	72	31	2	2	160	28
RCAN3	610	264	131	186	35	11	1162	211
NCMAP	7	4	1	4	0	0	11	5
SRRM1	4671	1302	870	1099	143	56	8689	1027
CLIC4	759	721	264	612	54	38	1380	707
RUNX3	10	0	0	0	0	0	2	0
SYF2	1624	319	476	308	27	20	2790	279
RSRP1	771	349	154	277	21	14	1767	250
RHD	2	19	0	10	0	2	0	26
TMEM50A	2608	588	790	491	51	38	3704	515
RHCE	5	5	2	2	1	0	15	6
MACO1	647	271	125	231	43	15	1054	221
LDLRAP1	133	47	73	23	0	0	200	19
MAN1C1	15	10	25	12	1	1	59	7
SELENON	354	100	158	80	8	10	646	68
MTFR1L	467	133	106	162	19	4	1073	108
AUNIP	160	48	43	27	7	1	249	26
PAQR7	123	20	51	15	2	3	248	17
STMN1	18991	3238	2940	2259	309	182	30876	2479
PAFAH2	116	36	44	20	3	5	185	34
EXTL1	6	0	0	1	0	0	4	1
SLC30A2	9	3	64	1	0	0	9	1
TRIM63	23	4	5	2	0	0	5	0
PDIK1L	70	55	21	22	6	1	150	45
FAM110D	55	19	14	6	0	0	114	5
C1orf232	3	0	0	1	0	0	2	0
AL391650.1	4	2	29	3	0	0	10	1
ZNF593	1583	323	388	360	37	18	3155	326
CNKSR1	194	46	81	43	6	2	303	38
CATSPER4	0	1	2	0	0	0	4	1
CEP85	114	72	23	47	2	4	175	48
SH3BGRL3	5893	1424	2847	1465	179	51	11172	1102
UBXN11	144	75	43	38	9	1	268	64
CD52	47	11	11	7	0	0	98	5
CRYBG2	201	106	95	78	10	3	442	75
ZNF683	0	0	0	0	0	0	0	0
LIN28A	1560	586	226	432	49	31	2879	470
DHDDS	320	125	138	140	21	4	518	120
HMGN2	1811	2808	298	1513	191	108	3104	1799
RPS6KA1	260	91	90	89	5	4	501	58
ARID1A	1723	680	394	529	69	37	3045	535
PIGV	128	43	44	31	3	1	303	33
ZDHHC18	187	63	113	48	3	3	342	41
SFN	411	8	1160	3	0	0	361	2
GPN2	386	103	93	93	8	7	610	84
GPATCH3	210	60	54	51	4	2	258	33
NUDC	4133	958	999	765	107	52	6463	839
NR0B2	9	1	0	3	0	0	5	0
KDF1	302	56	112	58	5	2	508	57
TRNP1	205	66	40	102	21	3	441	45
TENT5B	157	31	128	42	2	2	412	29
SLC9A1	136	58	106	42	3	0	184	73
WDTC1	224	82	57	81	8	4	322	59
TMEM222	310	90	103	93	7	6	584	56
SYTL1	149	37	351	17	2	4	310	23
MAP3K6	17	7	31	5	0	0	67	1
FCN3	0	0	0	0	0	0	0	0
CD164L2	1	1	4	0	0	0	15	0
GPR3	7	4	5	2	0	0	18	0
WASF2	1440	425	571	443	47	25	2325	380
AHDC1	291	88	161	68	5	2	461	72
FGR	1	0	0	0	0	0	3	0
IFI6	154	9	588	6	0	0	94	3
FAM76A	213	66	72	51	2	2	428	35
STX12	431	226	186	187	21	5	903	124
PPP1R8	476	226	116	138	23	5	941	131
THEMIS2	19	8	5	4	0	0	36	8
RPA2	811	195	248	133	21	6	1421	176
SMPDL3B	116	37	40	27	5	2	288	37
XKR8	300	82	70	55	11	3	435	50
EYA3	305	276	67	215	21	13	629	214
PTAFR	3	0	2	4	1	0	9	2
DNAJC8	3702	927	932	785	94	44	6389	756
ATP5IF1	6470	1611	2025	1509	166	51	13114	1264
SESN2	248	96	113	100	7	5	401	105
MED18	111	48	38	21	4	0	185	58
PHACTR4	935	801	183	537	89	32	1570	614
RCC1	513	163	155	95	9	4	772	201
TRNAU1AP	727	187	213	148	15	11	1198	154
TAF12	1075	248	242	222	22	11	1822	196
RAB42	14	2	6	9	0	0	30	3
GMEB1	475	151	144	124	17	7	776	102
YTHDF2	2477	615	584	497	88	33	4147	535
OPRD1	6	3	3	1	0	0	3	2
EPB41	617	463	143	289	37	30	1105	309
TMEM200B	118	53	17	32	5	0	189	42
SRSF4	2558	1140	607	928	122	56	4606	777
MECR	362	102	125	93	13	4	545	106
PTPRU	72	35	75	23	2	2	124	15
MATN1	0	4	0	3	0	0	3	3
LAPTM5	13	4	2	4	0	0	51	3
SDC3	229	35	37	34	4	0	220	34
PUM1	2118	1478	430	1345	152	57	3714	1243
NKAIN1	132	46	18	28	8	1	203	28
SNRNP40	1950	555	334	401	47	22	3279	406
ZCCHC17	1334	423	398	369	19	31	2023	330
FABP3	118	43	87	126	1	1	362	15
SERINC2	628	104	398	115	4	3	858	89
TINAGL1	176	4	345	3	0	0	133	2
HCRTR1	1	2	0	2	0	0	1	1
PEF1	912	194	347	157	11	9	1484	151
COL16A1	33	4	20	3	1	0	42	3
ADGRB2	37	3	22	5	0	1	56	6
SPOCD1	11	2	25	2	0	0	13	2
PTP4A2	2841	725	825	600	62	34	5281	597
KHDRBS1	4868	1550	1112	1104	142	73	8226	1156
TMEM39B	193	60	41	52	7	0	367	52
KPNA6	855	248	270	222	23	7	1392	232
TXLNA	409	124	94	107	11	4	699	83
CCDC28B	270	83	192	69	6	3	512	60
IQCC	56	9	18	4	1	0	112	8
DCDC2B	0	5	0	3	0	0	1	4
TMEM234	236	41	98	53	8	2	394	30
EIF3I	3966	808	1014	708	88	30	6533	717
FAM167B	6	1	3	2	0	0	6	1
LCK	5	3	11	0	1	0	14	2
HDAC1	1479	400	412	318	28	33	2480	266
MARCKSL1	18196	3212	3476	2760	361	153	28877	2382
TSSK3	2	6	1	4	0	1	6	6
FAM229A	90	14	12	12	1	2	138	16
BSDC1	539	171	119	156	16	10	817	135
ZBTB8B	80	36	14	13	2	0	139	23
ZBTB8A	232	140	50	86	13	11	330	160
ZBTB8OS	1540	486	353	338	53	26	2343	450
RBBP4	2264	799	380	563	85	36	3807	744
SYNC	348	88	55	45	15	3	690	96
KIAA1522	335	139	161	117	13	10	549	83
YARS	730	324	199	258	24	22	1105	312
S100PBP	388	194	64	142	15	10	610	157
FNDC5	49	6	6	8	3	0	80	7
HPCA	3	1	6	1	0	0	12	2
TMEM54	563	140	637	66	6	12	1452	43
RNF19B	138	68	43	63	2	2	239	79
AK2	1187	332	348	305	38	22	2369	262
AZIN2	20	19	14	39	0	0	54	18
TRIM62	26	7	17	17	2	3	25	18
ZNF362	205	157	71	106	16	1	413	119
A3GALT2	0	0	0	0	1	0	0	3
PHC2	918	218	252	203	17	12	1421	136
ZSCAN20	31	12	8	11	0	0	41	13
CSMD2	4	8	1	25	1	0	5	22
HMGB4	0	0	0	1	0	0	0	0
C1orf94	0	0	1	0	0	0	1	0
SMIM12	1083	241	330	230	26	6	1828	197
GJB5	8	0	39	0	0	0	2	0
GJB4	3	0	2	1	0	0	11	2
GJB3	8	1	33	1	0	0	10	3
GJA4	406	66	0	44	27	3	467	81
DLGAP3	16	8	1	13	1	0	35	3
TMEM35B	1	199	0	141	12	10	0	122
ZMYM6	62	58	24	65	8	1	124	52
ZMYM1	402	302	90	200	17	13	818	214
SFPQ	6872	1324	1330	1153	166	61	9263	954
ZMYM4	967	728	152	577	72	34	1489	627
KIAA0319L	531	371	120	295	39	21	694	288
NCDN	116	16	34	12	3	1	146	26
TFAP2E	4	4	12	1	0	0	8	7
PSMB2	5165	963	1544	944	105	60	8300	799
C1orf216	78	15	15	9	0	0	74	7
CLSPN	1085	254	206	129	35	13	1599	188
AGO4	178	218	52	146	26	17	273	127
AGO1	488	219	94	144	16	8	883	178
AGO3	487	472	119	378	38	30	737	460
TEKT2	32	8	9	3	0	2	36	7
ADPRHL2	657	146	234	112	10	3	1068	135
COL8A2	0	1	0	1	0	0	1	2
TRAPPC3	1612	307	647	320	39	11	2669	255
MAP7D1	794	161	242	123	12	13	1262	126
THRAP3	3477	1296	771	985	131	63	6191	952
SH3D21	111	48	40	10	2	1	204	40
EVA1B	504	151	329	73	16	14	803	74
STK40	185	132	112	96	15	7	273	99
LSM10	1102	239	381	200	21	10	1726	187
OSCP1	86	29	55	24	2	3	104	36
MRPS15	3536	809	988	766	78	34	6156	582
CSF3R	60	10	89	1	0	0	70	2
GRIK3	6	31	0	14	7	0	16	40
ZC3H12A	69	12	40	18	1	1	110	8
MEAF6	1163	244	390	203	31	8	2011	199
SNIP1	150	92	51	72	7	2	359	75
DNALI1	765	147	97	147	12	10	1174	104
GNL2	772	193	189	208	21	5	1367	160
RSPO1	21	7	9	9	0	0	39	6
C1orf109	342	70	85	67	8	2	577	50
CDCA8	518	149	92	79	12	10	836	112
EPHA10	1	0	0	1	0	0	3	0
MANEAL	25	3	17	3	0	0	42	4
YRDC	615	121	189	117	17	5	996	111
C1orf122	2690	659	907	640	73	30	4689	482
MTF1	154	72	39	61	7	5	265	53
INPP5B	102	103	14	75	9	3	198	59
SF3A3	1519	369	332	308	36	16	2546	325
FHL3	276	55	134	72	6	4	435	43
UTP11	758	180	206	176	22	13	1370	176
POU3F1	15	6	35	4	0	0	37	3
RRAGC	473	62	341	119	13	8	854	58
MYCBP	401	210	84	173	28	11	670	164
GJA9	0	1	0	4	1	0	0	0
RHBDL2	2	12	1	7	1	0	11	4
AKIRIN1	2506	608	778	570	59	39	4872	492
NDUFS5	11193	2210	3467	1931	306	85	21786	2361
MACF1	1704	1680	363	1596	172	88	2710	1353
BMP8A	10	8	2	7	1	0	21	16
PABPC4	2062	554	484	507	52	18	4260	348
HEYL	9	5	2	10	0	0	19	2
NT5C1A	0	0	0	0	0	0	0	0
HPCAL4	0	0	0	0	0	0	1	0
PPIE	833	244	247	178	18	17	1444	174
BMP8B	3	0	0	2	0	0	7	1
OXCT2	5	2	2	1	0	0	3	1
TRIT1	299	208	77	139	13	8	457	131
MYCL	160	35	49	18	4	1	257	37
MFSD2A	13	7	7	4	0	1	32	6
CAP1	2955	689	1328	581	58	33	5139	506
PPT1	1017	251	267	159	16	14	1740	183
RLF	452	388	79	341	38	19	968	282
TMCO2	0	2	0	0	0	0	0	1
ZMPSTE24	490	210	160	181	14	14	919	147
COL9A2	1198	108	58	148	7	4	725	109
SMAP2	252	73	66	64	3	4	372	58
ZFP69B	58	22	10	15	2	0	97	16
ZFP69	28	20	13	9	1	0	54	10
EXO5	108	29	22	19	2	2	157	13
ZNF684	72	34	15	18	5	3	113	26
RIMS3	36	17	12	12	1	1	83	14
NFYC	499	206	212	157	20	10	870	190
KCNQ4	11	6	3	3	0	0	17	5
CITED4	251	50	174	28	6	4	535	38
CTPS1	874	211	124	170	31	13	1384	132
SLFNL1	0	17	1	20	7	1	3	31
SCMH1	153	614	49	671	63	38	239	388
FOXO6	6	3	23	2	0	0	15	0
EDN2	0	0	0	0	0	1	2	0
HIVEP3	14	32	11	52	5	1	23	29
AC119676.1	0	0	0	0	0	0	0	0
GUCA2B	47	0	0	0	0	0	4	1
GUCA2A	422	12	1	10	0	0	42	12
FOXJ3	349	901	65	753	95	48	539	940
RIMKLA	136	16	17	14	1	4	144	46
ZMYND12	8	4	4	1	0	0	21	1
PPCS	1144	251	403	244	25	17	1946	217
CCDC30	91	60	46	54	8	4	136	67
PPIH	1227	407	305	317	39	11	2246	243
YBX1	24023	6187	5034	5270	612	310	38351	5130
CLDN19	294	72	1	83	6	4	583	66
P3H1	400	143	75	111	7	7	663	90
