endoderm_NA18511	endoderm_NA18856	endoderm_NA18858	endoderm_NA18912	endoderm_NA19140	endoderm_NA19159	endoderm_NA19160	endoderm_NA19210
CDC23	361	119	91	78	7	10	707	81
GFRA3	7	2	5	5	0	0	8	2
CDC25C	248	159	38	84	10	8	373	122
FAM53C	362	86	115	99	4	5	678	114
KDM3B	559	461	133	314	44	20	980	298
REEP2	129	39	36	15	1	1	249	33
EGR1	1715	182	524	385	22	11	3418	56
ETF1	1079	341	334	329	29	18	1747	304
HSPA9	2935	682	664	660	70	29	5064	580
CTNNA1	1983	1085	751	832	88	53	3674	876
LRRTM2	8	1	3	1	0	0	16	5
SIL1	395	337	157	303	33	9	659	222
MATR3	8	3	5	10	0	1	23	8
MATR3.1	125	75	14	52	8	1	195	40
PAIP2	2733	778	564	682	70	30	4896	674
SLC23A1	45	39	3	39	1	0	100	22
MZB1	4	0	0	3	0	0	2	2
PROB1	30	4	4	5	0	0	25	5
SPATA24	140	40	25	34	2	1	235	39
DNAJC18	219	67	42	52	12	4	472	74
ECSCR	4	0	2	3	0	0	6	3
SMIM33	1	0	0	0	0	0	0	0
TMEM173	2	0	3	1	0	0	4	0
UBE2D2	4077	1326	1173	1200	140	51	6883	1078
CXXC5	1991	479	646	405	53	16	3144	392
PSD2	1	1	0	0	0	0	3	0
NRG2	226	338	2	283	49	7	504	401
PURA	491	133	185	149	15	8	832	110
IGIP	10	2	2	3	1	0	21	7
CYSTM1	1108	396	653	397	39	24	2112	301
PFDN1	1221	377	501	288	34	18	2103	318
HBEGF	24	5	29	9	1	0	43	3
SLC4A9	2	1	1	0	0	0	5	2
ANKHD1	181	622	35	498	46	32	253	560
SRA1	1261	388	353	284	33	13	1556	322
EIF4EBP3	2	25	0	13	4	1	2	14
APBB3	63	10	27	10	0	0	74	7
SLC35A4	425	61	128	66	14	5	593	46
CD14	1	6	1	4	4	0	4	0
NDUFA2	3252	786	788	682	94	43	5819	572
TMCO6	68	31	19	9	4	1	112	17
IK	1700	426	481	333	40	28	2833	373
WDR55	332	77	83	55	8	2	542	49
DND1	3	5	1	1	0	0	14	1
HARS	735	183	263	127	16	12	1135	127
HARS2	226	92	56	59	6	1	314	44
ZMAT2	1553	415	408	349	46	18	2457	338
PCDHA1	3	0	1	0	0	1	5	5
PCDHA2	4	1	1	0	0	0	4	1
PCDHA3	2	3	2	1	0	0	6	0
PCDHA4	32	9	21	9	0	0	68	9
PCDHA5	20	1	2	4	1	0	15	5
PCDHA6	6	2	0	1	0	0	6	4
PCDHA7	17	1	2	5	0	0	26	1
PCDHA8	1	3	0	1	0	0	1	0
PCDHA9	23	12	12	7	0	0	72	12
PCDHA10	76	35	57	45	5	4	171	56
PCDHA11	10	1	2	2	0	0	8	6
PCDHA12	103	40	54	21	1	3	197	30
PCDHA13	3	2	5	3	2	1	6	5
PCDHAC1	7	1	6	2	0	0	10	1
PCDHAC2	2	0	11	0	0	0	8	0
PCDHB1	0	0	0	1	0	0	0	1
PCDHB2	202	26	84	30	7	3	387	53
PCDHB3	16	3	7	1	1	0	38	7
PCDHB4	10	3	4	1	0	0	23	3
PCDHB5	100	18	91	52	1	0	162	54
PCDHB6	3	0	0	0	0	0	0	1
PCDHB7	2	0	2	0	0	0	3	1
PCDHB8	3	0	2	0	0	0	5	0
PCDHB16	37	3	17	3	2	0	86	11
PCDHB9	28	5	15	0	0	0	47	8
PCDHB10	24	2	16	1	1	0	48	3
PCDHB11	11	1	7	2	3	0	18	2
PCDHB12	9	2	5	4	1	0	12	6
PCDHB13	19	4	15	4	0	0	43	3
PCDHB14	23	4	26	2	3	0	67	8
PCDHB15	41	3	33	9	0	0	84	8
TAF7	2091	456	575	488	45	27	3815	465
SLC25A2	0	0	0	1	0	0	0	0
PCDHGA1	2	0	5	2	0	0	6	8
PCDHGA2	2	1	1	0	0	0	2	1
PCDHGA3	1	1	0	0	0	0	3	0
PCDHGB1	1	0	1	0	0	0	4	0
PCDHGA4	1	0	1	1	0	0	0	0
PCDHGB2	1	0	0	0	0	0	1	0
PCDHGA5	6	3	1	1	0	0	9	1
PCDHGB3	0	0	0	0	0	0	0	0
PCDHGA6	3	1	2	0	0	0	10	2
PCDHGA7	2	0	1	0	0	0	6	0
PCDHGB4	3	2	0	1	0	0	1	1
PCDHGA8	11	0	3	3	0	1	16	4
PCDHGB5	5	0	0	0	0	0	5	0
PCDHGA9	4	0	1	2	0	0	5	1
PCDHGB6	68	20	20	9	1	2	87	11
PCDHGA10	59	29	54	24	1	5	195	36
PCDHGB7	25	9	7	5	0	0	70	3
PCDHGA11	9	2	2	2	0	0	6	1
PCDHGA12	3	0	1	1	0	0	7	5
PCDHGC3	4	7	6	3	0	0	20	3
PCDHGC4	1	0	0	0	0	0	3	1
PCDHGC5	0	0	0	0	0	0	0	0
DIAPH1	854	593	255	704	74	22	1621	434
HDAC3	982	270	215	215	20	12	1568	189
RELL2	16	4	35	3	0	0	30	1
FCHSD1	46	11	35	1	1	0	81	9
ARAP3	70	36	17	22	1	0	85	20
PCDH1	105	26	52	18	4	1	172	34
DELE1	357	146	78	119	14	9	529	71
PCDH12	0	1	0	0	0	0	1	2
RNF14	256	109	108	122	10	5	446	67
GNPDA1	1432	348	493	300	30	18	2706	316
NDFIP1	1542	533	539	466	60	23	2655	365
SPRY4	183	41	29	69	3	1	152	67
FGF1	1	7	8	9	0	0	6	12
ARHGAP26	427	881	29	987	172	37	721	898
NR3C1	142	40	118	72	3	2	131	83
HMHB1	0	0	0	0	0	0	0	0
YIPF5	1146	317	319	329	31	9	2169	288
KCTD16	19	31	8	17	2	3	19	31
PRELID2	385	367	45	334	30	24	529	485
GRXCR2	0	0	0	0	0	0	0	2
SH3RF2	111	110	31	108	10	6	104	102
PLAC8L1	9	3	0	6	1	0	15	13
LARS	1539	565	306	402	54	32	2934	424
RBM27	286	435	72	297	41	14	493	292
POU4F3	4	0	0	0	0	0	2	1
TCERG1	1391	570	306	457	60	33	2548	461
GPR151	1	0	0	0	0	0	0	0
PPP2R2B	47	108	54	81	7	2	101	147
STK32A	45	50	3	34	3	3	45	67
DPYSL3	1004	245	213	410	40	12	1778	200
JAKMIP2	43	62	13	38	5	2	70	42
SPINK1	198	31	8	36	1	0	581	19
SCGB3A2	137	4	134	20	2	1	212	21
C5orf46	8	0	34	1	0	0	4	1
SPINK5	80	123	88	78	3	11	145	148
SPINK14	0	1	0	0	0	0	0	0
SPINK6	0	0	0	0	0	0	4	1
MARCOL	0	1	0	0	0	0	1	2
SPINK13	2	1	1	0	0	0	4	0
SPINK7	0	0	0	0	0	0	0	0
SPINK9	0	3	0	2	0	0	2	2
FBXO38	201	166	60	145	18	5	294	129
HTR4	7	16	0	8	3	0	8	12
ADRB2	10	0	1	4	0	0	18	3
SH3TC2	6	1	6	2	0	0	4	0
ABLIM3	13	12	11	4	0	0	15	3
AFAP1L1	29	6	24	2	0	4	103	10
GRPEL2	130	48	20	30	8	4	212	26
PCYOX1L	49	16	17	3	0	4	69	7
IL17B	0	1	0	1	0	0	5	0
CSNK1A1	2471	976	854	828	88	61	4334	768
ARHGEF37	21	16	12	8	1	0	30	10
PPARGC1B	32	21	18	31	5	1	66	18
PDE6A	15	12	0	6	1	0	36	8
SLC26A2	330	135	73	116	17	6	635	66
TIGD6	49	11	17	9	2	1	80	6
HMGXB3	358	146	115	155	16	7	684	114
CSF1R	7	1	25	4	0	0	1	4
PDGFRB	24	13	6	4	0	0	30	2
CDX1	44	6	26	41	1	1	67	7
SLC6A7	0	0	1	2	0	0	0	0
CAMK2A	8	15	4	18	2	0	14	5
ARSI	23	20	58	29	1	1	43	10
TCOF1	1283	248	291	227	24	10	2218	198
CD74	410	118	137	108	10	2	855	43
RPS14	64156	18468	17606	14256	1957	823	133551	14458
NDST1	281	190	84	178	22	9	440	120
SYNPO	6	2	4	5	0	0	7	4
MYOZ3	66	10	9	6	0	0	157	9
RBM22	612	151	200	141	19	7	1048	131
DCTN4	308	242	92	169	30	12	518	171
SMIM3	157	35	88	22	2	6	286	30
IRGM	1	2	0	0	0	0	1	5
ZNF300	10	29	34	17	6	2	7	13
GPX3	485	106	61	109	10	5	848	79
TNIP1	462	87	143	88	10	8	645	92
ANXA6	2118	525	125	566	40	15	3666	521
CCDC69	65	25	103	22	1	0	117	14
GM2A	241	69	142	126	5	4	483	40
SLC36A3	0	0	0	2	0	0	0	0
SLC36A2	1	10	0	34	0	0	20	4
SLC36A1	147	174	33	191	12	3	392	86
FAT2	0	6	6	2	0	2	4	3
SPARC	5242	1183	1787	1626	136	54	11164	812
ATOX1	5259	1106	1245	1398	153	41	9929	864
G3BP1	2830	986	518	856	107	55	5320	776
GLRA1	0	2	0	6	2	0	0	4
NMUR2	8	11	0	3	0	0	15	4
GRIA1	3	36	2	14	0	2	3	2
FAM114A2	251	66	64	57	7	7	419	61
MFAP3	54	102	12	66	2	5	84	51
GALNT10	196	101	38	146	15	5	239	151
SAP30L	358	65	125	86	10	2	584	60
HAND1	987	24	616	30	0	5	809	2
LARP1	1586	475	412	485	48	18	2933	391
FAXDC2	46	81	7	69	8	2	133	47
CNOT8	459	186	99	119	17	4	698	113
GEMIN5	238	86	39	73	9	5	418	73
MRPL22	2342	470	537	379	46	25	3603	454
KIF4B	2	0	0	0	0	0	3	0
SGCD	3	13	0	20	1	1	4	21
PPP1R2B	1	1	0	0	0	0	0	0
TIMD4	2	22	0	23	1	0	7	14
HAVCR1	15	111	0	70	13	3	39	41
HAVCR2	15	41	4	18	2	4	86	28
MED7	507	152	112	111	14	7	957	113
ITK	0	2	0	0	0	0	0	0
FAM71B	0	0	0	0	0	0	0	0
CYFIP2	260	95	69	41	11	1	327	103
FNDC9	0	0	0	0	0	0	0	1
ADAM19	199	131	44	143	13	6	418	100
NIPAL4	3	0	1	0	0	0	2	0
SOX30	5	7	0	3	6	0	8	5
C5orf52	0	0	0	0	0	0	0	0
THG1L	327	79	83	80	7	7	576	85
LSM11	58	12	20	14	2	1	99	11
CLINT1	1211	594	483	528	63	40	2271	446
EBF1	9	45	2	7	3	6	12	36
RNF145	373	184	77	130	12	10	644	161
UBLCP1	827	210	203	179	17	16	806	177
IL12B	0	0	0	0	0	0	0	0
ADRA1B	9	3	44	0	1	0	35	3
TTC1	1222	413	432	316	45	23	2108	357
PWWP2A	617	272	140	230	32	7	1013	300
FABP6	53	30	4	19	1	0	115	9
CCNJL	202	105	31	80	11	11	356	103
C1QTNF2	2	1	5	0	0	0	7	0
ZBED8	32	10	16	10	2	1	73	10
SLU7	676	184	224	176	14	13	1085	149
PTTG1	3177	892	609	519	60	63	5501	501
ATP10B	23	61	8	70	3	5	8	31
GABRB2	52	10	2	22	8	2	60	17
GABRA6	0	0	0	0	0	0	2	0
GABRA1	2	0	0	0	0	0	0	0
GABRG2	10	8	5	13	3	3	23	8
CCNG1	3491	811	709	657	69	46	5958	671
NUDCD2	1432	368	366	247	31	14	2582	244
HMMR	942	330	157	192	12	15	1441	186
MAT2B	231	102	106	50	11	3	481	74
TENM2	9	100	3	53	2	6	16	131
WWC1	187	332	124	277	26	25	366	168
RARS	1359	519	340	479	47	24	2406	459
FBLL1	7	1	2	1	0	0	4	0
PANK3	662	301	135	286	20	13	1207	235
SLIT3	270	916	50	1097	50	28	428	542
SPDL1	578	158	95	116	14	8	927	140
DOCK2	7	6	1	12	1	0	22	5
INSYN2B	0	4	0	4	4	0	4	4
FOXI1	2	0	0	0	0	0	0	0
C5orf58	16	0	1	1	0	0	20	1
LCP2	1	0	0	0	0	0	0	0
KCNIP1	0	12	0	3	0	1	4	1
KCNMB1	9	1	17	3	0	0	10	1
GABRP	600	3	537	2	0	0	595	1
RANBP17	302	982	75	700	107	20	594	714
TLX3	4	0	1	2	1	0	4	3
NPM1	24424	9083	5111	6887	751	397	47480	6852
FGF18	25	8	11	5	1	0	84	18
SMIM23	0	0	0	0	0	0	1	0
FBXW11	502	613	131	491	53	35	864	452
STK10	65	24	38	39	1	3	82	31
EFCAB9	1	0	0	2	0	0	1	0
UBTD2	507	478	98	397	53	25	763	431
SH3PXD2B	279	220	74	187	12	10	561	179
NEURL1B	23	10	4	6	1	0	41	10
DUSP1	577	126	614	137	6	4	916	68
ERGIC1	670	388	182	312	30	13	1317	272
RPL26L1	1333	356	460	377	42	16	2398	337
ATP6V0E1	4059	882	2190	1011	130	57	6620	890
CREBRF	254	93	82	83	5	2	471	93
BNIP1	218	59	66	39	1	3	352	34
NKX2-5	6	4	3	1	0	0	8	0
STC2	127	23	108	39	2	2	217	53
BOD1	2103	497	651	402	54	40	4021	440
CPEB4	164	127	100	141	4	6	330	93
C5orf47	1	1	0	0	1	0	2	2
NSG2	2	1	1	1	0	0	1	3
MSX2	1026	345	319	293	36	17	2656	201
DRD1	0	1	0	2	0	0	6	0
SFXN1	999	434	163	417	45	15	1657	399
HRH2	55	10	3	12	2	0	32	6
CPLX2	1	8	1	6	0	1	2	7
THOC3	530	277	118	142	14	10	315	212
FAM153B	0	0	0	2	0	0	2	0
SIMC1	162	206	30	148	23	8	259	197
KIAA1191	730	163	170	137	9	7	1192	140
ARL10	52	18	20	17	1	0	110	9
NOP16	480	86	193	101	10	10	869	76
HIGD2A	3161	758	987	593	85	35	5981	575
CLTB	999	142	1044	219	26	10	1312	138
FAF2	954	405	235	377	38	32	1603	290
RNF44	410	101	60	61	5	5	709	68
CDHR2	7	6	0	3	0	0	18	3
GPRIN1	28	3	7	5	1	0	30	3
SNCB	2	0	1	1	0	0	8	0
EIF4E1B	1	0	1	0	0	0	2	0
TSPAN17	211	39	76	23	4	0	314	33
UNC5A	4	0	1	0	0	0	4	1
HK3	0	1	0	0	0	0	0	4
UIMC1	335	303	72	244	25	12	570	239
ZNF346	211	116	58	89	3	6	377	98
FGFR4	1469	367	19	437	49	11	2783	333
NSD1	1706	968	270	771	130	43	2860	832
RAB24	43	11	15	8	1	1	67	12
MXD3	189	63	56	17	0	3	320	43
PRELID1	6053	1511	1803	1253	145	48	10970	1134
LMAN2	3061	637	824	640	87	28	4725	584
RGS14	270	69	71	72	6	7	859	57
SLC34A1	0	0	0	0	0	0	0	0
PFN3	0	0	0	0	0	0	2	0
F12	66	9	43	11	1	0	155	9
GRK6	498	118	117	74	11	4	687	94
PRR7	359	56	67	46	2	3	581	52
DBN1	2529	476	489	265	39	21	3784	335
PDLIM7	1186	265	682	244	26	25	1800	223
DOK3	14	6	2	14	1	0	22	23
DDX41	423	71	120	66	8	2	798	95
FAM193B	349	187	46	203	23	9	676	141
TMED9	6923	1657	1594	1880	165	48	11768	1262
B4GALT7	618	141	171	131	12	10	1007	93
FAM153A	2	1	1	9	2	1	11	0
PROP1	0	0	0	0	0	0	0	0
N4BP3	100	17	75	11	0	0	158	27
RMND5B	409	96	197	85	13	6	662	83
NHP2	3555	706	934	515	73	35	6023	615
GMCL2	0	0	1	0	0	0	0	0
HNRNPAB	5312	1205	1203	1019	153	66	9412	1084
PHYKPL	367	269	62	190	21	8	595	204
COL23A1	268	288	9	393	39	11	216	419
CLK4	137	65	40	67	9	4	309	46
AC113348.1	0	0	0	0	1	0	0	0
ZNF354A	271	133	49	95	8	4	499	101
ZNF354B	82	39	32	40	4	3	152	34
ZFP2	26	39	9	12	2	1	40	20
ZNF454	111	0	32	22	1	0	91	22
GRM6	5	0	0	2	0	0	5	0
ZNF879	56	7	16	9	2	0	78	12
ZNF354C	89	54	22	40	9	0	175	13
ADAMTS2	14	17	16	13	0	0	35	13
RUFY1	448	265	123	214	38	15	962	190
HNRNPH1	4450	775	753	578	69	34	7633	671
CBY3	1	13	0	1	0	0	0	1
CANX	3643	1090	837	1029	95	43	7318	806
MAML1	343	120	66	114	16	8	516	96
LTC4S	110	66	46	28	0	2	389	36
MGAT4B	1250	232	512	211	18	11	2088	166
SQSTM1	2043	479	1107	941	53	31	2561	532
MRNIP	320	143	68	87	11	6	658	96
TBC1D9B	447	114	123	122	21	6	815	122
RNF130	1026	704	225	577	89	32	1907	589
RASGEF1C	10	21	3	6	1	3	22	13
MAPK9	477	203	114	165	20	7	818	153
GFPT2	60	23	38	20	3	2	72	46
CNOT6	256	281	86	216	30	17	518	233
SCGB3A1	1	0	1	0	0	0	13	0
FLT4	18	8	1	4	2	0	36	8
OR2Y1	0	0	0	0	0	0	0	0
MGAT1	826	199	244	161	13	9	1287	147
ZFP62	251	85	71	53	8	5	456	50
BTNL8	1	4	1	13	0	0	16	0
BTNL3	0	0	0	0	0	0	0	0
BTNL9	1	2	1	1	0	0	2	1
OR2V1	0	0	0	0	0	0	0	0
OR2V2	0	0	0	0	0	0	0	0
TRIM7	1	0	3	1	0	0	0	0
TRIM41	163	36	36	21	1	2	271	44
RACK1	43486	9548	10795	8666	931	441	83287	7261
TRIM52	114	31	38	17	4	4	236	27
OR4F3	0	0	0	0	0	0	0	0
DUSP22	293	74	121	76	6	2	499	108
IRF4	0	0	1	0	0	0	6	1
EXOC2	236	321	83	278	41	15	371	285
HUS1B	8	4	2	2	0	1	10	4
FOXQ1	1889	318	10	238	30	31	2661	295
FOXF2	4	0	0	1	0	0	9	1
FOXC1	213	19	45	6	1	0	130	33
GMDS	434	614	91	981	78	46	732	500
MYLK4	1	3	1	5	1	0	5	1
WRNIP1	299	114	138	73	17	1	490	90
SERPINB1	854	229	153	291	43	10	1665	184
SERPINB9	1237	193	271	310	32	8	1893	330
SERPINB6	2749	468	213	388	45	10	2651	618
NQO2	2073	496	332	472	41	33	3088	594
RIPK1	182	165	55	153	24	5	309	121
BPHL	869	236	130	219	30	17	1277	197
TUBB2A	1766	175	803	428	32	14	2389	489
TUBB2B	4614	636	1014	747	89	58	7690	800
PSMG4	399	104	119	105	10	3	635	83
SLC22A23	174	333	96	292	36	19	292	270
PXDC1	204	74	168	66	2	9	361	30
FAM50B	64	4	36	12	0	0	149	8
PRPF4B	1259	447	278	387	62	21	2371	361
FAM217A	0	7	0	4	1	0	0	13
C6orf201	0	3	0	1	0	0	1	2
ECI2	1493	428	305	390	45	17	3006	228
CDYL	595	572	206	353	37	21	985	418
RPP40	228	39	40	33	2	3	396	37
PPP1R3G	7	3	3	2	0	0	18	1
LYRM4	1123	401	268	259	37	23	2202	320
FARS2	220	384	54	346	38	19	325	368
NRN1	87	14	17	22	0	1	289	21
F13A1	3	1	0	4	0	0	3	2
LY86	2	0	5	0	0	0	0	0
RREB1	489	517	108	439	37	21	976	448
SSR1	1544	493	248	380	46	17	2778	380
CAGE1	9	5	1	2	0	0	14	1
RIOK1	546	241	86	145	16	10	1053	111
DSP	8964	2633	1873	1592	212	174	12303	1624
SNRNP48	367	123	69	102	12	4	654	119
BMP6	134	544	5	764	107	4	309	258
TXNDC5	12	259	5	280	22	14	34	169
BLOC1S5	366	153	97	99	11	7	545	99
EEF1E1	1693	483	468	319	29	19	3320	323
SLC35B3	239	129	121	113	13	10	534	81
TFAP2A	355	21	617	8	4	3	1243	6
GCNT2	340	322	81	245	37	12	796	238
C6orf52	52	21	12	13	3	2	109	12
PAK1IP1	587	192	175	151	23	6	1054	154
TMEM14C	4458	1114	1378	1034	109	48	7242	883
TMEM14B	6272	1317	794	864	153	58	7393	1310
MAK	5	136	1	66	10	9	14	98
GCM2	0	3	0	0	0	0	0	1
SYCP2L	20	70	5	16	1	5	30	33
ELOVL2	71	22	6	31	2	0	75	15
SMIM13	157	77	74	56	4	1	341	75
ERVFRD-1	0	1	0	0	0	0	0	1
NEDD9	168	124	83	118	8	5	371	62
TMEM170B	53	53	12	25	4	2	94	30
ADTRP	17	8	0	33	3	0	41	1
HIVEP1	297	404	64	339	44	18	518	380
EDN1	103	18	103	31	1	3	135	13
PHACTR1	114	53	96	58	4	6	174	46
TBC1D7	571	140	181	137	14	12	984	120
GFOD1	19	3	8	19	0	0	38	8
SIRT5	178	95	64	64	9	5	380	72
NOL7	2528	606	702	565	89	37	4414	525
RANBP9	439	386	129	288	40	18	734	279
MCUR1	1575	462	453	369	41	17	2763	366
RNF182	23	32	14	17	1	2	40	8
CD83	49	15	12	6	0	0	91	6
JARID2	871	924	228	684	61	36	1583	781
DTNBP1	471	264	162	179	21	12	760	210
MYLIP	432	443	130	257	33	12	822	246
GMPR	283	75	49	183	9	9	326	91
ATXN1	145	457	85	504	48	15	235	369
STMND1	2	4	2	3	0	0	9	0
RBM24	188	38	10	46	3	1	168	32
CAP2	375	261	102	265	23	18	524	215
FAM8A1	222	95	47	89	7	3	516	54
NUP153	329	346	81	229	28	13	572	199
KIF13A	231	451	81	348	37	18	460	346
NHLRC1	8	1	0	0	0	0	9	2
TPMT	437	127	136	98	16	6	966	129
KDM1B	64	49	26	22	5	2	113	50
DEK	4425	1163	1272	677	126	53	7937	810
RNF144B	21	16	33	8	0	0	44	12
ID4	1960	800	254	646	54	38	4320	395
MBOAT1	36	27	42	15	2	1	75	16
E2F3	392	293	82	310	30	13	771	270
CDKAL1	270	826	54	563	77	37	388	794
SOX4	5028	866	1689	703	100	76	6512	764
PRL	0	0	0	0	0	0	0	0
HDGFL1	1	0	0	0	0	0	0	0
NRSN1	1	1	0	0	0	0	4	1
DCDC2	79	785	17	311	36	33	1452	51
KAAG1	2	1	0	0	0	0	9	0
MRS2	1649	674	202	347	48	35	2237	426
GPLD1	71	31	12	26	10	1	129	28
ALDH5A1	152	73	14	59	3	1	327	55
KIAA0319	5	19	1	20	2	2	24	14
TDP2	1191	572	121	614	61	14	3151	297
ACOT13	2144	589	438	810	103	40	4565	489
C6orf62	798	211	212	209	20	13	1512	160
GMNN	1440	334	350	281	42	14	2388	266
ARMH2	0	0	0	0	0	0	0	1
RIPOR2	263	124	75	73	8	4	228	132
CARMIL1	426	851	87	871	135	34	917	619
SCGN	65	7	0	2	0	0	125	0
HIST1H2AA	0	0	0	0	0	0	1	0
HIST1H2BA	0	0	0	0	0	0	0	0
SLC17A4	9	7	0	3	0	0	23	0
SLC17A1	4	43	0	22	2	0	18	16
SLC17A3	55	24	0	59	1	0	139	17
SLC17A2	1	1	0	5	0	0	1	0
TRIM38	350	161	203	170	18	2	852	100
HIST1H1A	3	147	43	9	0	0	209	175
HIST1H3A	0	3	1	0	1	0	7	3
HIST1H4A	0	1	0	0	1	0	8	1
HIST1H4B	4	3	0	1	0	0	5	0
HIST1H3B	127	49	21	20	7	4	126	43
HIST1H2AB	13	5	1	3	1	0	13	2
HIST1H2BB	0	3	0	0	2	0	0	0
HIST1H3C	0	2	0	1	1	0	0	0
HIST1H1C	641	200	175	105	23	8	1080	120
HFE	19	6	15	3	1	0	23	1
HIST1H4C	9328	1202	1844	684	125	74	11862	773
HIST1H1T	0	0	0	0	0	0	0	1
HIST1H2BC	88	39	23	28	6	3	90	24
HIST1H2AC	225	521	85	124	22	5	436	46
HIST1H1E	343	179	66	62	22	4	526	98
HIST1H2BD	53	39	16	25	2	0	122	16
HIST1H2BE	8	10	2	10	0	0	15	5
HIST1H4D	10	5	2	4	1	0	17	3
HIST1H3D	0	26	0	14	5	3	0	26
HIST1H2AD	0	11	0	0	0	0	1	2
HIST1H2BF	30	13	5	12	3	1	41	2
HIST1H4E	55	16	8	13	3	2	63	7
HIST1H2BG	37	14	19	12	1	1	73	9
HIST1H2AE	27	17	9	20	2	0	69	10
HIST1H3E	22	8	7	8	1	0	24	3
HIST1H1D	756	394	111	159	29	15	581	291
HIST1H4F	4	5	1	3	1	0	0	5
HIST1H4G	0	0	0	0	0	0	0	0
HIST1H3F	35	11	2	11	3	1	52	9
HIST1H2BH	148	93	27	35	4	2	173	21
HIST1H3G	68	44	16	12	3	4	81	26
HIST1H2BI	5	2	2	0	0	0	8	0
HIST1H4H	34	13	15	28	2	0	63	5
BTN3A2	42	10	23	3	0	0	80	1
BTN2A2	82	45	28	24	5	3	164	18
BTN3A1	11	7	7	3	1	0	22	3
BTN3A3	1	4	1	2	0	0	2	2
BTN2A1	160	51	41	48	5	5	240	45
BTN1A1	10	1	0	1	0	0	10	1
HMGN4	764	193	210	163	21	6	1349	142
ABT1	916	145	256	166	9	8	1607	156
ZNF322	354	252	74	240	21	7	478	195
HIST1H2BJ	31	21	8	18	0	1	32	5
HIST1H2AG	62	20	16	8	2	1	87	11
HIST1H4I	14	8	3	4	0	0	24	6
HIST1H2BK	17	10	11	10	1	1	19	5
HIST1H2AH	110	30	11	21	6	1	159	22
PRSS16	148	35	61	23	7	1	296	16
POM121L2	0	2	0	2	0	0	1	0
ZNF391	41	23	8	15	9	0	62	10
ZNF184	110	15	30	25	4	2	189	24
HIST1H2BL	11	2	2	1	2	0	10	1
HIST1H2AI	9	3	4	11	5	0	14	5
HIST1H3H	25	22	8	12	2	1	47	6
HIST1H2AJ	23	4	3	4	2	0	25	0
HIST1H2BM	1	0	2	2	1	0	9	4
HIST1H4J	2	7	3	4	0	0	8	4
HIST1H4K	0	0	0	0	0	0	0	0
HIST1H2BN	66	30	12	42	4	0	157	25
HIST1H2AK	19	4	2	4	1	1	22	2
HIST1H2AL	21	9	2	6	0	2	22	1
HIST1H1B	644	163	84	90	18	6	530	98
HIST1H3I	11	3	0	0	0	0	4	6
HIST1H4L	3	3	0	0	0	0	0	1
HIST1H3J	17	30	2	15	2	0	14	15
HIST1H2AM	17	2	5	11	1	0	21	0
HIST1H2BO	9	0	0	1	0	0	6	0
OR2B2	0	0	0	0	0	0	0	0
OR2B6	0	1	1	0	0	0	5	0
ZNF165	105	30	78	36	2	1	213	20
ZSCAN16	192	38	70	23	3	4	279	40
ZKSCAN8	161	129	36	73	9	4	276	52
ZSCAN9	247	102	53	64	7	2	398	69
ZKSCAN4	100	30	23	21	0	2	197	30
NKAPL	6	3	1	0	0	0	18	1
ZSCAN26	186	88	33	63	8	4	306	43
PGBD1	221	85	43	77	7	11	301	61
ZSCAN31	25	7	11	4	0	0	34	7
ZKSCAN3	70	24	17	19	2	1	132	30
ZSCAN12	94	82	18	38	3	4	133	35
ZSCAN23	15	56	3	29	1	0	26	22
GPX6	2	1	1	0	0	0	2	0
GPX5	0	3	0	8	0	0	1	1
ZBED9	5	55	1	48	7	5	9	40
TRIM27	20	268	5	249	32	13	30	180
ZNF311	2	25	0	4	1	1	16	11
OR2W1	0	0	0	0	0	0	0	0
OR2B3	0	0	0	0	0	0	0	0
OR2J1	0	1	0	0	0	0	0	0
OR2J3	0	0	0	0	0	0	1	1
OR2J2	0	0	0	0	0	0	0	0
OR14J1	0	2	0	0	0	0	0	0
OR5V1	0	0	0	1	0	0	0	0
OR12D3	0	0	0	0	0	0	0	0
OR12D2	0	0	0	0	0	0	0	0
OR11A1	0	0	0	0	0	0	0	0
OR10C1	0	0	0	0	0	0	0	0
OR2H1	0	0	0	0	0	0	0	0
MAS1L	0	0	0	0	0	0	0	0
OR2I1P	0	1	0	0	0	0	0	0
UBD	0	0	0	0	1	0	0	0
GABBR1	2	73	4	70	2	2	8	30
OR2H2	0	1	0	0	0	0	0	2
MOG	0	0	0	0	0	0	0	2
ZFP57	0	2	0	1	1	0	0	1
HLA-F	1	1	11	1	0	0	0	1
HLA-G	2	1	9	4	0	0	1	1
HLA-A	65	246	44	341	55	32	128	342
ZNRD1	613	213	152	112	23	5	792	158
PPP1R11	9	114	5	81	14	6	18	112
RNF39	0	2	0	0	0	0	0	0
TRIM31	0	0	0	1	0	0	0	1
TRIM40	0	1	0	0	0	0	0	0
TRIM10	0	0	0	0	0	0	0	0
TRIM15	0	1	0	1	0	0	1	1
TRIM26	15	137	9	112	17	6	30	112
TRIM39	1	34	0	26	2	0	0	19
RPP21	112	250	35	252	31	13	121	258
HLA-E	20	110	28	141	10	8	67	83
GNL1	115	149	45	128	16	3	166	99
PRR3	4	85	0	29	3	1	2	47
ABCF1	1126	448	269	408	47	21	1989	377
PPP1R10	387	310	81	275	40	20	626	322
MRPS18B	9	221	5	176	24	10	19	198
