mesoderm_NA18511	mesoderm_NA18856	mesoderm_NA18858	mesoderm_NA18912	mesoderm_NA19140	mesoderm_NA19159	mesoderm_NA19160	mesoderm_NA19210
KLHL6	6	2	1	9	0	0	14	0
KLHL24	258	88	18	502	67	43	629	18
YEATS2	323	219	19	1003	204	124	699	29
MAP6D1	0	2	0	20	3	5	0	1
PARL	1231	177	108	867	135	99	2465	25
ABCC5	351	85	25	429	74	44	696	22
HTR3D	0	0	0	0	0	0	0	0
HTR3C	0	0	0	0	1	0	0	0
HTR3E	1	0	0	4	0	0	0	0
EIF2B5	440	55	28	230	39	30	825	12
DVL3	721	49	53	333	49	38	1374	12
AP2M1	5780	464	349	2272	370	259	10716	74
ABCF3	345	23	21	105	17	12	635	2
VWA5B2	0	0	0	0	0	0	0	0
ALG3	720	78	77	354	56	46	1434	14
EEF1AKMT4	228	29	34	137	27	12	512	6
CAMK2N2	18	4	11	10	0	1	21	0
ECE2	0	0	0	2	0	0	0	0
PSMD2	3888	398	233	1521	272	194	7928	61
EIF4G1	2148	187	179	844	138	102	3579	33
FAM131A	138	24	13	82	18	8	280	1
CLCN2	43	9	5	37	4	3	120	0
POLR2H	1899	269	154	921	171	134	4160	40
THPO	12	1	1	17	4	0	30	1
CHRD	11	0	1	5	0	0	15	0
EPHB3	363	27	4	114	16	20	619	7
MAGEF1	1349	143	68	574	106	68	2742	25
VPS8	227	119	11	569	102	67	474	21
C3orf70	44	2	0	51	10	3	86	0
EHHADH	117	19	4	123	18	16	140	7
MAP3K13	509	96	39	702	75	100	935	28
TMEM41A	391	45	44	147	29	28	816	10
LIPH	1	0	0	5	0	0	1	0
SENP2	298	72	40	403	53	50	739	13
IGF2BP2	2364	892	117	3975	703	533	4861	168
TRA2B	3245	333	171	1468	293	186	6928	87
ETV5	253	117	19	373	62	43	568	11
DGKG	6	7	1	251	20	2	12	1
CRYGS	2	1	1	13	3	1	9	2
TBCCD1	58	19	7	72	9	3	110	2
DNAJB11	1270	145	97	725	136	88	2265	31
AHSG	14	5	3	14	2	3	17	2
FETUB	0	0	0	0	0	0	0	0
HRG	0	0	0	0	0	0	0	0
KNG1	1	0	0	1	0	0	0	0
EIF4A2	4288	472	370	1969	353	254	10398	79
RFC4	1111	192	86	676	111	79	2407	40
ADIPOQ	0	0	0	0	0	0	0	0
ST6GAL1	179	181	31	636	105	56	349	31
RPL39L	1521	122	126	909	171	105	3715	26
RTP1	1	0	2	2	0	0	3	0
MASP1	72	18	7	55	2	10	106	1
RTP4	0	0	0	1	0	0	0	0
SST	109	38	7	118	13	30	203	4
RTP2	0	0	0	0	0	0	0	0
BCL6	22	10	2	51	12	5	43	3
AC072022.2	0	0	0	3	1	0	0	0
LPP	783	567	49	3683	542	345	1486	88
TPRG1	5	17	0	231	26	10	14	3
TP63	0	7	1	9	1	0	3	0
P3H2	449	528	40	1915	281	69	1256	127
CLDN1	8	6	1	11	3	0	14	0
CLDN16	4	0	1	3	0	0	5	0
TMEM207	0	1	0	1	0	0	0	0
IL1RAP	17	12	0	43	4	1	17	0
GMNC	0	2	0	7	0	2	3	0
OSTN	11	0	0	4	4	2	18	0
UTS2B	2	2	0	3	0	1	4	0
CCDC50	823	126	46	565	87	72	1656	16
PYDC2	0	0	0	0	0	0	0	0
FGF12	51	78	3	213	47	20	125	8
MB21D2	96	58	7	230	34	27	232	13
PLAAT1	81	14	5	88	17	9	227	2
ATP13A5	0	0	0	0	0	1	0	0
ATP13A4	2	0	0	3	1	0	2	0
OPA1	447	154	29	776	128	81	855	25
HES1	3350	213	123	2426	358	243	7871	33
CPN2	0	1	0	0	2	0	2	0
LRRC15	0	0	0	0	0	0	1	0
GP5	0	0	0	0	0	0	2	0
ATP13A3	312	147	41	559	142	75	591	23
TMEM44	179	39	9	141	27	20	339	4
LSG1	356	58	39	276	37	37	708	11
FAM43A	251	9	8	127	24	5	512	3
XXYLT1	611	114	30	693	103	91	1107	25
ACAP2	668	262	50	1221	221	141	1384	36
PPP1R2	849	125	61	613	104	76	1868	16
APOD	3	0	0	3	2	0	5	0
MUC20	0	2	0	1	2	1	3	0
MUC4	0	0	0	7	0	0	0	0
TNK2	91	15	8	53	15	12	154	2
TFRC	270	51	25	198	29	21	505	9
ZDHHC19	2	0	1	9	0	1	20	0
SLC51A	13	4	0	23	3	0	33	1
PCYT1A	301	47	22	245	37	27	512	8
TCTEX1D2	929	202	37	853	163	114	2023	31
TM4SF19	0	0	0	2	1	0	1	0
UBXN7	670	148	44	687	118	93	1349	21
RNF168	432	99	35	427	75	54	815	9
SMCO1	0	0	0	0	0	0	0	0
WDR53	108	36	7	123	25	14	252	3
FBXO45	260	41	20	197	25	28	626	11
NRROS	4	0	2	3	0	1	13	0
PIGX	679	74	46	332	62	48	1043	10
CEP19	191	11	6	98	17	7	321	3
PAK2	1678	364	86	1412	252	222	3474	60
SENP5	435	163	27	916	126	127	859	24
NCBP2	1556	194	100	683	125	137	3520	33
NCBP2AS2	1000	132	91	454	73	70	2246	14
PIGZ	15	2	0	12	1	0	14	0
MELTF	77	12	8	47	8	8	130	0
DLG1	1533	898	57	3783	732	549	2478	113
BDH1	5	15	0	46	5	13	6	2
RUBCN	64	15	4	72	25	7	136	4
FYTTD1	691	81	25	444	62	80	1181	13
LRCH3	397	199	21	981	157	135	889	34
IQCG	109	40	5	235	44	28	321	13
RPL35A	47791	4822	3780	20345	3146	2537	95757	727
LMLN	52	9	6	73	9	12	170	4
ZNF595	80	28	15	69	9	20	255	2
ZNF718	135	105	3	453	85	56	160	16
ZNF732	4	30	8	150	12	28	102	5
ZNF141	270	69	18	347	72	50	489	18
ZNF721	545	265	33	927	198	131	1007	38
PIGG	183	38	10	205	36	27	317	4
TMEM271	0	0	0	0	0	0	2	0
PDE6B	155	18	11	88	20	15	338	2
ATP5ME	4958	504	480	1809	310	249	10002	64
MYL5	71	7	7	41	3	4	158	0
SLC49A3	49	2	8	20	5	1	108	0
PCGF3	389	68	29	336	45	32	850	9
CPLX1	3	3	1	2	1	0	14	0
GAK	329	46	21	252	47	33	634	6
TMEM175	115	13	3	57	8	5	240	0
DGKQ	83	16	5	27	8	3	133	1
SLC26A1	5	0	1	4	1	1	14	0
IDUA	45	0	8	12	2	1	115	4
FGFRL1	281	26	17	55	21	16	518	3
RNF212	26	5	6	9	2	1	127	0
SPON2	1400	11	7	81	11	24	1735	0
CTBP1	905	88	75	384	65	52	1600	9
MAEA	793	79	71	460	75	45	1678	17
UVSSA	108	29	7	97	20	8	210	0
CRIPAK	51	6	5	17	2	4	115	2
NKX1-1	0	0	0	0	0	0	0	0
FAM53A	21	7	0	28	7	2	26	2
SLBP	2675	235	95	1265	264	177	5048	46
TACC3	828	142	77	522	99	65	1685	22
TMEM129	194	28	30	43	7	8	402	3
FGFR3	306	18	12	132	14	15	657	2
LETM1	545	60	21	203	40	24	972	6
NSD2	723	326	43	1235	266	199	1545	50
NELFA	582	92	56	385	75	42	1076	23
C4orf48	4066	436	185	1735	314	245	8725	71
NAT8L	23	4	3	7	0	0	30	0
POLN	18	2	2	9	0	1	33	0
HAUS3	191	26	11	133	25	15	450	8
MXD4	2792	179	104	1115	139	122	4410	31
ZFYVE28	4	1	1	8	1	1	4	0
CFAP99	0	1	0	0	0	0	0	0
RNF4	313	109	33	399	63	37	765	27
FAM193A	414	171	16	974	198	114	843	28
TNIP2	601	34	32	276	51	28	1010	10
SH3BP2	179	21	12	106	18	7	411	5
ADD1	1430	229	77	1269	188	139	2721	38
MFSD10	1247	108	76	562	79	80	2478	20
NOP14	485	68	41	361	51	48	1007	9
GRK4	101	36	6	139	24	33	233	8
HTT	414	176	37	729	119	74	753	32
MSANTD1	0	0	0	7	2	1	4	1
RGS12	340	115	6	532	92	72	679	17
HGFAC	6	0	0	2	0	0	3	1
DOK7	1	0	1	0	0	0	7	0
LRPAP1	1890	193	142	1077	127	119	3641	49
ADRA2C	191	36	19	226	17	2	465	18
OTOP1	0	0	0	0	0	0	0	0
TMEM128	389	70	19	238	36	33	707	5
LYAR	1135	129	118	560	91	51	1888	18
ZBTB49	55	7	4	41	7	6	107	2
NSG1	875	34	31	142	51	40	1747	9
STX18	1704	140	36	787	155	153	2371	22
MSX1	6042	515	115	2212	282	255	14289	105
CYTL1	308	12	21	49	19	15	972	5
STK32B	22	19	3	48	27	5	33	5
EVC2	109	36	6	178	26	21	200	5
EVC	25	19	1	158	25	18	70	7
CRMP1	136	33	39	179	54	25	262	7
C4orf50	2	1	0	14	0	1	6	0
JAKMIP1	36	3	3	22	1	0	85	1
AC092442.1	0	0	0	0	0	0	0	0
WFS1	158	11	14	64	10	7	297	1
PPP2R2C	4	2	2	7	0	0	7	0
MAN2B2	111	14	8	47	5	12	245	0
MRFAP1	4464	397	264	1812	337	262	9173	71
AC093323.1	197	20	14	109	12	21	442	9
S100P	1	1	2	0	0	1	6	0
MRFAP1L1	623	91	41	358	59	45	1229	15
BLOC1S4	1082	97	44	438	78	47	2133	7
KIAA0232	467	197	37	772	163	97	1028	30
TBC1D14	210	55	23	244	47	26	434	12
CCDC96	43	3	1	15	4	3	69	0
TADA2B	172	19	9	68	17	10	278	0
GRPEL1	885	119	74	447	79	60	1844	10
SORCS2	1	13	0	109	18	5	28	6
PSAPL1	8	0	0	2	0	0	14	1
AFAP1	169	77	15	333	44	33	331	11
ABLIM2	2	3	0	12	2	1	4	0
SH3TC1	32	1	2	6	4	2	58	0
HTRA3	114	9	3	14	3	5	219	2
ACOX3	208	30	8	188	22	27	451	8
TRMT44	112	27	9	132	14	20	268	4
GPR78	5	1	0	19	0	3	9	1
CPZ	21	1	0	6	1	7	20	0
HMX1	60	16	2	29	4	1	43	7
FAM90A26	0	0	0	0	0	0	0	0
USP17L10	0	0	0	0	0	0	0	0
USP17L11	0	0	0	0	0	0	0	0
USP17L12	0	0	0	0	0	0	0	0
USP17L13	0	0	0	0	0	0	0	0
USP17L15	0	0	0	0	0	0	0	0
USP17L17	0	0	0	0	0	0	0	0
USP17L18	0	0	0	0	0	0	0	0
USP17L19	0	0	0	0	0	0	0	0
USP17L20	0	0	0	0	0	0	0	0
USP17L21	0	0	0	0	0	0	0	0
USP17L22	0	0	0	0	0	0	0	0
USP17L23	0	0	0	0	0	0	0	0
USP17L24	0	0	0	0	0	0	0	0
USP17L25	0	0	0	0	0	0	0	0
USP17L26	0	0	0	0	0	0	0	0
USP17L5	0	0	0	0	0	0	0	0
USP17L27	0	0	0	0	0	0	0	0
USP17L28	0	0	0	0	0	0	0	0
USP17L29	0	0	0	0	0	0	0	0
USP17L30	0	0	0	0	0	0	0	0
DEFB131A	0	0	0	0	0	0	0	0
SLC2A9	3	0	0	10	0	0	6	0
DRD5	0	0	0	0	0	0	3	0
WDR1	1580	128	203	997	133	96	2989	37
ZNF518B	326	48	9	270	50	41	651	8
CLNK	0	6	0	15	0	0	4	0
HS3ST1	511	33	5	386	23	48	617	4
RAB28	475	187	33	820	150	115	1026	29
NKX3-2	6	0	1	0	1	0	15	1
BOD1L1	1755	226	107	1189	193	141	3904	43
CPEB2	24	10	2	65	13	3	66	1
C1QTNF7	26	26	0	10	6	6	85	13
CC2D2A	346	57	13	322	56	39	581	16
FBXL5	525	286	28	1067	180	135	897	34
FAM200B	825	107	50	392	65	77	1452	9
BST1	56	4	6	21	2	1	132	3
CD38	3	2	0	2	2	0	2	0
FGFBP1	3	2	0	5	0	0	14	0
FGFBP2	8	0	0	1	4	0	11	0
PROM1	537	195	9	385	101	77	829	14
TAPT1	104	37	5	146	27	27	215	5
LDB2	912	427	40	1861	434	464	1349	57
QDPR	1276	145	110	606	105	103	2656	30
CLRN2	0	0	0	0	0	0	0	0
LAP3	777	109	90	366	73	62	1538	12
MED28	2218	220	126	956	154	127	4333	32
FAM184B	140	13	4	72	3	4	37	4
DCAF16	281	77	27	246	49	45	571	7
NCAPG	999	215	58	597	214	114	1851	48
LCORL	552	336	29	1432	297	226	1315	60
SLIT2	1358	1189	17	10032	943	1168	2029	137
PACRGL	168	63	12	245	51	33	410	16
KCNIP4	75	309	3	351	99	107	263	166
ADGRA3	304	228	28	982	184	148	646	39
PPARGC1A	6	5	5	27	0	1	11	0
DHX15	1281	251	112	1095	212	168	2568	39
SOD3	252	8	27	161	3	9	519	5
CCDC149	74	23	2	100	10	2	148	0
LGI2	39	14	4	43	5	6	100	9
SEPSECS	60	17	6	90	22	9	147	4
PI4K2B	132	40	3	141	41	14	258	4
ZCCHC4	96	40	6	145	27	16	237	8
ANAPC4	203	29	19	197	34	30	465	7
SLC34A2	169	2	0	23	6	3	620	0
SEL1L3	14	10	4	32	1	1	42	1
SMIM20	1033	147	97	538	83	85	2316	23
RBPJ	1331	348	151	1481	273	183	2983	60
CCKAR	0	1	0	6	4	0	1	1
TBC1D19	119	87	5	472	77	58	270	18
STIM2	398	192	29	785	179	98	1011	30
PCDH7	1405	824	47	2859	647	447	2210	164
ARAP2	9	2	0	13	3	1	34	0
DTHD1	0	0	0	0	1	0	1	0
NWD2	11	8	0	31	5	1	19	12
C4orf19	5	3	1	24	4	5	18	0
RELL1	84	23	7	135	27	26	196	12
PGM2	352	53	21	164	41	27	871	5
TBC1D1	546	124	45	384	86	70	1030	21
PTTG2	7	0	0	0	0	0	15	0
KLF3	542	141	44	388	67	57	1202	22
TLR10	0	0	0	0	0	0	0	0
TLR1	0	0	0	3	2	0	3	0
TLR6	9	0	0	2	0	0	8	0
FAM114A1	1456	139	68	807	96	137	2962	17
TMEM156	0	0	0	1	0	0	1	0
KLHL5	363	142	24	798	147	82	635	21
WDR19	153	55	10	285	38	32	359	10
RFC1	1539	287	97	1244	222	188	3406	32
KLB	3	1	1	1	0	0	4	1
RPL9	46238	5375	3104	24730	3900	3043	112923	905
LIAS	250	32	30	199	30	19	726	9
UGDH	1194	145	49	624	123	96	2210	20
SMIM14	581	105	88	445	79	79	1140	13
UBE2K	1789	455	163	2117	392	269	3569	75
PDS5A	747	370	49	1559	348	230	1353	74
N4BP2	1019	261	66	1061	209	167	1958	40
RHOH	37	14	1	70	6	1	68	0
CHRNA9	5	5	0	19	3	4	15	0
RBM47	296	47	62	251	54	60	511	2
NSUN7	102	50	12	214	33	20	234	4
APBB2	160	201	14	896	184	134	348	44
UCHL1	2578	330	596	898	203	158	4675	52
LIMCH1	238	70	16	326	59	41	659	12
PHOX2B	0	0	0	0	0	0	0	0
TMEM33	596	103	54	355	59	60	1073	16
DCAF4L1	2	0	2	1	0	0	4	1
SLC30A9	503	193	37	785	136	117	1005	35
BEND4	4	2	11	8	2	0	12	0
SHISA3	24	3	1	19	1	2	140	4
ATP8A1	16	34	5	71	23	14	35	4
GRXCR1	0	0	0	0	0	0	1	0
KCTD8	50	123	1	179	27	20	77	27
YIPF7	1	0	0	13	0	2	6	0
GUF1	381	70	27	322	46	40	843	10
GNPDA2	224	43	7	61	31	14	395	6
GABRG1	0	0	0	0	0	0	0	0
GABRA2	113	46	1	2	19	12	205	8
COX7B2	0	0	0	2	0	0	0	0
GABRA4	0	2	0	0	0	2	1	0
GABRB1	2	3	0	1	0	2	8	4
COMMD8	712	78	26	78	48	42	1300	13
ATP10D	131	23	6	8	15	12	268	5
CORIN	6	4	0	15	1	1	6	1
NFXL1	194	78	18	280	46	38	438	9
NIPAL1	76	9	2	87	8	10	167	2
CNGA1	12	1	1	11	1	1	16	0
TXK	0	1	0	10	2	2	1	0
TEC	11	1	3	40	4	4	21	0
SLAIN2	390	102	29	488	80	63	797	19
SLC10A4	12	1	0	8	2	1	15	0
ZAR1	2	1	0	0	0	0	1	0
FRYL	361	322	16	1246	250	140	753	63
OCIAD1	2961	423	190	1710	334	264	5581	67
OCIAD2	991	79	220	663	115	55	2970	20
CWH43	1	0	0	0	0	0	0	0
DCUN1D4	247	80	12	471	76	80	479	18
LRRC66	1	1	0	8	0	0	1	1
SGCB	632	51	34	380	52	48	1258	10
SPATA18	21	6	4	36	3	1	40	4
USP46	590	145	38	455	81	67	1140	16
ERVMER34-1	81	10	3	19	5	9	132	2
RASL11B	202	2	21	9	5	1	431	0
SCFD2	115	125	4	445	98	94	249	17
FIP1L1	1043	188	68	795	170	123	2352	35
LNX1	27	17	2	32	3	2	65	1
CHIC2	476	127	25	633	104	66	1088	19
GSX2	1	0	1	0	0	0	1	0
PDGFRA	729	321	36	1523	257	110	1778	38
KIT	10	26	3	35	7	4	43	2
KDR	1089	172	48	777	73	43	1794	10
SRD5A3	565	84	48	251	71	31	1039	16
TMEM165	1805	285	114	1420	219	170	3374	51
CLOCK	356	153	20	801	155	106	732	25
PDCL2	0	0	0	5	0	0	5	0
NMU	143	43	19	224	27	2	559	6
EXOC1L	28	7	0	16	0	0	78	2
EXOC1	477	67	19	383	56	55	955	11
CEP135	442	109	21	450	100	68	855	12
KIAA1211	63	430	8	1541	369	139	154	64
AASDH	313	80	30	297	68	45	781	6
PPAT	512	154	69	635	130	88	1213	33
PAICS	3100	526	305	1985	423	288	6160	95
SRP72	2741	324	159	1373	280	203	5113	71
ARL9	57	18	0	57	31	10	136	4
THEGL	7	1	0	30	14	4	8	0
HOPX	1166	122	7	423	158	63	1312	12
SPINK2	33	2	4	8	7	0	42	0
REST	1463	199	89	1096	192	127	2918	42
NOA1	346	50	34	216	35	22	958	7
POLR2B	1110	208	56	910	159	109	2115	39
IGFBP7	977	118	57	153	26	14	2330	12
ADGRL3	65	367	6	918	197	109	197	33
TECRL	1102	269	42	415	93	127	2585	113
EPHA5	1	5	0	24	0	1	3	0
CENPC	545	131	32	590	114	81	1134	32
STAP1	0	2	0	2	0	0	0	2
UBA6	418	160	31	683	139	95	987	23
GNRHR	0	1	0	7	0	0	1	0
TMPRSS11D	0	2	0	10	4	1	0	0
TMPRSS11A	0	2	0	8	4	0	1	1
TMPRSS11F	0	0	0	0	0	0	0	0
TMPRSS11B	1	0	0	0	0	1	5	0
YTHDC1	326	237	17	1341	210	162	626	39
TMPRSS11E	10	8	0	57	9	4	17	5
UGT2B17	1	0	0	0	1	0	0	0
UGT2B15	0	0	0	0	0	0	0	0
UGT2B10	0	0	0	0	0	0	0	0
UGT2A3	0	0	0	0	0	0	0	0
UGT2B7	4	10	0	42	0	2	14	0
UGT2B11	8	7	2	85	17	2	500	1
UGT2B28	0	0	0	0	0	0	0	0
UGT2B4	0	0	0	2	0	0	0	0
UGT2A1	0	0	0	0	0	0	1	0
UGT2A2	0	0	0	0	0	0	0	0
SULT1B1	2	1	0	2	1	2	2	0
SULT1E1	0	0	0	1	0	0	0	0
CSN1S1	0	0	0	0	0	0	0	0
CSN2	0	0	0	0	0	0	0	0
STATH	0	0	0	0	0	0	0	0
HTN3	3	0	3	0	0	0	6	0
HTN1	2	0	10	1	0	0	0	0
PRR27	0	1	0	0	0	0	0	0
ODAM	461	31	14	150	24	35	658	2
FDCSP	1	0	0	0	0	0	0	0
CSN3	1	0	0	0	0	0	1	0
CABS1	0	0	0	3	0	0	5	0
SMR3A	0	0	0	0	0	0	0	0
SMR3B	0	0	0	0	0	0	0	0
OPRPN	0	0	0	0	0	0	0	0
MUC7	0	0	0	0	0	0	0	0
AMTN	1	0	0	0	0	0	0	0
AMBN	0	8	0	10	2	4	3	0
ENAM	1	0	0	0	0	0	0	0
JCHAIN	0	1	0	0	0	0	2	0
UTP3	638	63	50	307	59	36	1233	5
RUFY3	601	178	42	792	109	87	1264	27
GRSF1	1433	165	132	898	146	117	2692	43
MOB1B	188	157	12	695	87	66	334	22
DCK	327	37	22	161	25	22	579	6
SLC4A4	60	33	6	184	32	16	76	6
GC	0	0	0	0	0	0	1	0
NPFFR2	32	6	2	118	6	2	22	0
ADAMTS3	62	90	5	458	63	37	146	13
COX18	168	40	6	126	21	18	299	7
ANKRD17	1214	551	72	3070	520	336	2286	105
ALB	4	0	0	2	0	1	12	0
AFP	134	19	8	105	6	9	213	3
AFM	3	1	0	1	1	0	6	0
RASSF6	11	2	0	13	0	0	35	0
CXCL8	0	0	0	0	0	0	0	0
CXCL6	2	0	2	3	0	1	5	0
PF4V1	1	0	0	1	0	0	4	0
CXCL1	6	0	0	2	0	0	43	0
PF4	5	1	17	0	0	1	5	0
PPBP	0	0	0	1	0	0	5	0
CXCL5	21	4	6	8	0	1	31	1
CXCL3	22	4	4	5	0	0	44	0
CXCL2	8	0	1	2	0	0	15	0
MTHFD2L	290	65	17	296	57	32	499	12
EPGN	0	1	0	1	0	0	2	0
EREG	1	0	0	0	0	0	1	0
AREG	162	0	1	14	0	7	101	0
BTC	2	0	0	2	0	0	1	0
PARM1	230	23	3	156	18	35	326	2
RCHY1	468	63	31	317	54	52	870	11
THAP6	150	31	5	149	29	27	319	7
ODAPH	8	1	1	0	0	0	12	0
CDKL2	30	2	2	15	2	1	53	1
G3BP2	2818	440	177	2431	351	251	5096	66
USO1	948	159	104	782	131	107	1831	11
PPEF2	0	0	0	0	1	0	0	0
NAAA	50	12	5	28	6	2	69	3
SDAD1	875	141	60	702	128	76	1682	25
CXCL9	0	0	0	0	0	0	0	0
ART3	0	0	0	4	0	0	0	0
CXCL10	4	0	0	0	0	0	0	0
CXCL11	0	0	0	0	0	0	0	0
NUP54	694	199	66	1067	152	96	1429	39
SCARB2	684	109	45	430	84	59	1601	18
FAM47E	5	6	0	10	1	0	17	0
STBD1	2	3	0	28	6	5	9	1
CCDC158	0	0	0	3	0	0	1	0
SHROOM3	242	140	17	370	113	134	481	44
SOWAHB	2	0	0	2	0	0	7	0
SEPTIN11	4714	756	148	2467	534	378	8118	93
CCNI	10964	1254	656	6319	942	674	23991	213
CCNG2	459	73	18	254	46	46	1006	13
CXCL13	3	0	0	8	4	0	6	1
CNOT6L	245	32	9	173	31	27	350	10
MRPL1	892	164	66	639	135	89	1765	39
FRAS1	336	437	18	1871	406	202	505	64
ANXA3	586	21	63	325	35	71	816	2
BMP2K	211	86	22	537	100	70	338	19
PAQR3	150	50	19	222	41	24	277	8
NAA11	0	0	0	1	0	1	0	0
GK2	0	0	0	0	0	0	0	0
ANTXR2	311	108	11	395	79	50	640	14
PRDM8	6	4	1	8	0	0	11	0
FGF5	1	0	0	0	0	0	5	1
CFAP299	1	5	0	13	1	8	3	1
BMP3	2	3	0	2	0	0	6	0
PRKG2	9	10	0	43	7	3	18	1
RASGEF1B	71	26	9	218	34	15	155	9
HNRNPD	7288	1237	554	4761	1013	693	15611	225
HNRNPDL	11339	987	627	4887	982	614	22487	229
ENOPH1	692	84	111	372	75	61	1406	13
TMEM150C	61	15	7	88	14	7	237	2
SCD5	113	77	4	147	36	17	365	14
SEC31A	2205	400	84	2211	309	272	3931	45
THAP9	81	36	3	89	18	8	168	6
LIN54	110	65	6	298	65	40	204	15
COPS4	1255	162	85	716	138	88	2567	24
PLAC8	13	2	1	12	2	2	41	0
COQ2	303	45	20	227	44	34	656	13
HPSE	1	1	0	4	3	0	12	0
HELQ	294	38	23	203	49	23	650	12
MRPS18C	2244	260	214	1050	178	136	4220	42
ABRAXAS1	470	106	28	342	65	42	1315	7
GPAT3	2	0	1	5	0	0	5	0
NKX6-1	0	0	0	0	0	0	2	0
CDS1	59	17	9	51	6	5	112	3
WDFY3	286	336	23	1771	289	204	520	58
ARHGAP24	255	133	4	734	132	133	633	24
MAPK10	368	294	12	2438	267	173	629	59
PTPN13	1402	604	44	3357	626	376	2457	83
SLC10A6	0	0	0	0	0	0	1	0
C4orf36	1	5	0	9	4	0	2	2
AFF1	284	292	39	1113	195	115	586	44
KLHL8	181	91	4	279	59	47	390	12
HSD17B13	1	2	1	3	0	1	0	0
HSD17B11	486	83	17	280	43	40	1015	12
NUDT9	547	72	60	294	70	37	942	11
SPARCL1	21	7	1	31	2	3	38	5
DSPP	2	0	0	0	0	0	4	0
DMP1	0	0	0	1	0	0	0	0
IBSP	0	0	0	0	0	0	0	0
MEPE	0	0	1	0	0	0	0	0
SPP1	128	5	363	20	4	15	163	0
PKD2	310	258	24	854	165	130	618	34
ABCG2	17	20	5	63	21	19	49	4
PPM1K	374	57	30	211	26	39	672	7
HERC6	28	4	3	28	4	4	40	2
HERC5	37	8	27	49	12	1	71	0
PYURF	1499	157	97	743	119	82	2867	22
PIGY	0	0	0	0	0	0	0	0
HERC3	5	13	0	103	17	9	13	4
NAP1L5	135	13	6	86	8	8	306	0
FAM13A	463	340	25	2039	354	197	985	42
TIGD2	97	4	4	47	10	4	170	0
GPRIN3	9	5	3	20	1	1	55	2
SNCA	228	29	30	173	23	26	578	12
MMRN1	10	2	0	24	2	2	11	1
CCSER1	5	44	1	332	24	12	12	6
GRID2	50	144	37	1150	140	142	164	77
ATOH1	0	5	0	0	0	0	0	0
SMARCAD1	689	180	33	958	173	128	1321	41
HPGDS	5	0	0	3	2	3	21	0
PDLIM5	416	131	44	968	141	121	725	20
BMPR1B	13	89	0	95	26	31	45	9
UNC5C	346	867	12	4968	890	533	947	173
PDHA2	0	0	0	0	0	0	0	0
STPG2	2	35	2	201	25	15	15	4
RAP1GDS1	551	167	28	1025	208	154	1086	31
TSPAN5	2434	422	50	3127	341	449	3782	65
EIF4E	761	273	55	1288	232	171	1446	48
METAP1	548	116	45	454	66	57	1087	19
ADH5	4526	561	291	2542	482	321	9942	86
ADH4	0	1	0	9	1	1	1	0
ADH6	0	0	0	5	2	0	1	0
ADH1A	0	0	0	2	0	0	0	0
ADH1B	0	0	0	1	0	0	0	0
ADH1C	0	0	0	0	0	0	0	0
ADH7	0	0	0	0	0	0	0	0
C4orf17	0	0	0	1	0	0	1	0
TRMT10A	193	34	12	126	12	21	384	3
MTTP	2	2	0	10	3	1	21	0
C4orf54	1	1	0	0	0	0	0	0
DAPP1	0	0	0	0	0	0	0	0
LAMTOR3	720	71	44	373	62	54	1350	8
DNAJB14	791	195	37	928	153	145	1548	25
H2AFZ	27191	3643	1946	13906	2752	1919	55043	604
DDIT4L	4	0	1	11	0	1	21	1
EMCN	0	0	0	13	0	1	0	0
PPP3CA	1018	327	57	1711	318	242	1675	56
BANK1	59	10	1	31	6	10	83	0
SLC39A8	192	63	29	214	20	32	357	13
NFKB1	225	39	6	270	37	31	361	1
MANBA	164	55	17	252	43	38	312	8
UBE2D3	3727	580	286	2535	447	351	7143	85
CISD2	1084	198	93	744	134	119	2174	32
SLC9B1	20	19	1	44	6	5	23	1
SLC9B2	91	25	4	121	22	15	168	8
BDH2	1172	123	62	547	108	57	2257	21
CENPE	1269	364	63	1199	276	186	2683	72
TACR3	2	11	1	89	8	1	11	11
CXXC4	75	36	6	116	16	9	221	8
TET2	158	104	5	588	86	84	373	15
PPA2	995	216	53	900	192	118	2530	32
ARHGEF38	0	8	0	24	7	2	1	0
INTS12	381	85	18	448	65	42	787	10
GSTCD	284	141	7	667	122	94	513	24
NPNT	840	87	10	538	26	49	1280	53
TBCK	317	208	16	1291	214	145	570	51
AIMP1	1907	252	119	943	150	131	3361	27
GIMD1	0	0	0	0	0	0	1	0
DKK2	472	40	7	173	76	160	414	5
PAPSS1	5149	546	123	3458	661	406	8065	75
SGMS2	22	1	0	27	2	3	19	1
CYP2U1	60	6	8	33	10	7	113	0
HADH	876	135	39	576	110	71	2167	20
LEF1	1381	827	13	4695	860	382	3129	119
RPL34	43202	4100	2723	20411	3015	2445	86992	683
OSTC	7591	734	465	3388	554	486	15324	117
ETNPPL	4	0	0	6	0	0	7	0
COL25A1	44	32	3	435	78	33	113	17
SEC24B	281	210	8	1180	185	136	506	28
MCUB	293	20	24	162	36	19	555	6
CASP6	1170	127	79	634	98	77	2163	24
PLA2G12A	245	112	18	482	60	55	463	10
CFI	0	0	0	2	0	0	0	0
GAR1	842	119	84	551	87	82	1884	20
RRH	3	0	0	8	0	1	9	0
LRIT3	3	0	0	1	0	0	3	0
EGF	7	15	4	71	17	5	21	0
ELOVL6	745	231	53	1003	214	155	1386	43
