mesoderm_NA18511	mesoderm_NA18856	mesoderm_NA18858	mesoderm_NA18912	mesoderm_NA19140	mesoderm_NA19159	mesoderm_NA19160	mesoderm_NA19210
UBIAD1	195	19	22	144	22	16	401	4
DISP3	13	7	0	58	3	3	61	0
FBXO2	789	23	128	270	23	62	1479	12
FBXO44	115	1	10	38	12	0	252	5
FBXO6	49	5	5	25	4	0	89	1
MAD2L2	986	166	252	478	94	60	2483	22
DRAXIN	63	19	23	53	3	6	129	3
AGTRAP	757	122	105	543	74	52	1667	13
C1orf167	9	3	1	10	1	0	49	0
MTHFR	190	17	9	106	17	15	363	8
CLCN6	157	41	12	201	26	24	273	2
NPPA	17	10	1	93	2	9	90	1
NPPB	584	3	9	75	2	9	244	0
KIAA2013	538	43	47	187	52	34	1039	11
PLOD1	919	73	65	264	47	43	1735	14
MFN2	226	37	20	183	27	19	469	7
MIIP	598	69	69	316	60	36	1211	10
TNFRSF8	3	1	1	6	1	1	3	0
TNFRSF1B	17	3	1	30	0	3	28	3
VPS13D	127	85	14	612	94	71	283	12
DHRS3	29	17	34	18	4	3	103	0
AADACL4	0	0	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0	0	0
C1orf158	0	0	0	1	0	0	0	0
PRAMEF12	0	0	0	0	0	0	0	0
PRAMEF1	0	0	0	0	0	0	0	0
PRAMEF11	0	0	0	0	0	0	0	0
HNRNPCL1	3	0	0	0	0	0	3	0
PRAMEF2	0	0	0	0	0	0	0	0
PRAMEF4	0	0	0	0	0	0	0	0
PRAMEF10	0	0	0	0	0	0	0	0
PRAMEF7	0	0	0	0	0	0	0	0
PRAMEF6	0	0	0	0	0	0	0	0
PRAMEF27	0	0	0	0	0	0	0	0
HNRNPCL3	0	0	0	0	0	0	0	0
PRAMEF25	0	0	0	0	0	0	0	0
HNRNPCL2	0	0	0	0	0	0	0	0
PRAMEF26	0	0	0	0	0	0	0	0
HNRNPCL4	0	0	0	0	0	0	0	0
PRAMEF9	0	0	0	0	0	0	0	0
PRAMEF13	0	0	0	0	0	0	0	0
PRAMEF18	0	0	0	0	0	0	0	0
PRAMEF5	0	0	0	0	0	0	0	0
PRAMEF8	0	0	0	0	0	0	0	0
PRAMEF33	0	0	0	0	0	0	0	0
PRAMEF15	0	0	0	0	0	0	0	0
PRAMEF14	0	0	0	0	0	0	0	0
PRAMEF19	0	0	0	0	0	0	0	0
PRAMEF17	0	0	0	0	0	0	0	0
PRAMEF20	0	0	0	0	0	0	0	0
LRRC38	7	0	0	3	0	0	10	0
PDPN	2340	24	94	284	98	169	3229	4
PRDM2	538	161	22	723	100	94	1058	28
KAZN	315	825	28	4155	832	255	720	153
TMEM51	384	87	20	671	91	48	699	24
FHAD1	48	9	0	50	13	11	85	3
EFHD2	489	58	29	224	51	30	1016	12
CTRC	0	0	0	0	0	0	0	0
CELA2A	3	1	0	2	0	0	11	0
CELA2B	1	2	0	5	1	0	0	0
CASP9	169	17	15	104	17	4	389	6
DNAJC16	244	62	19	301	39	37	584	11
AGMAT	53	7	2	31	5	7	122	0
DDI2	206	52	25	183	38	29	476	6
RSC1A1	0	0	0	0	0	0	0	0
PLEKHM2	536	62	27	467	53	35	1168	10
SLC25A34	3	2	0	6	0	1	11	1
TMEM82	0	0	0	3	0	0	2	0
FBLIM1	351	71	50	337	68	38	807	12
UQCRHL	144	19	18	98	16	9	334	4
SPEN	823	124	56	546	121	78	1553	21
ZBTB17	231	40	11	131	33	13	453	10
SRARP	40	7	0	28	2	0	114	1
HSPB7	69	1	12	12	0	1	125	0
CLCNKA	5	0	2	5	0	0	12	0
CLCNKB	7	0	3	2	0	0	37	0
FAM131C	2	2	1	8	1	1	12	0
EPHA2	175	15	16	148	10	10	301	5
ARHGEF19	88	14	15	43	11	6	175	2
CPLANE2	36	2	1	11	3	2	93	1
FBXO42	248	76	11	428	72	60	524	18
SZRD1	878	112	84	474	84	76	1629	18
SPATA21	2	7	0	28	4	2	1	0
NECAP2	769	70	35	334	49	48	1462	12
NBPF1	220	38	9	144	44	10	340	8
CROCC	167	74	11	203	33	51	441	7
MFAP2	39	266	4	529	165	88	119	34
ATP13A2	220	36	29	102	15	10	442	6
SDHB	960	138	127	555	89	62	1820	20
PADI2	0	1	0	1	0	0	3	0
PADI1	1	0	0	3	1	0	2	0
PADI3	3	2	0	4	0	0	0	0
PADI4	0	1	0	0	0	1	0	0
PADI6	0	0	0	0	0	0	0	0
RCC2	1030	248	152	817	148	103	2080	26
ARHGEF10L	82	30	18	303	28	16	188	7
ACTL8	0	0	1	0	0	0	7	0
IGSF21	12	3	1	16	1	1	36	0
KLHDC7A	1	0	2	2	0	0	2	0
PAX7	11	11	0	37	1	5	33	0
TAS1R2	0	0	0	0	0	0	0	0
ALDH4A1	93	12	17	61	8	6	169	2
IFFO2	25	4	3	39	4	4	24	1
UBR4	808	138	74	760	102	57	1452	23
EMC1	374	44	31	193	22	28	805	5
MRTO4	1233	185	94	673	121	106	2603	32
AKR7A3	2	0	0	6	0	0	16	0
AKR7A2	1533	200	86	640	149	87	3000	15
SLC66A1	235	21	15	89	14	11	380	1
CAPZB	3491	451	261	2461	394	334	6807	77
MICOS10	2165	371	164	1668	383	217	4243	66
NBL1	140	12	8	39	5	5	262	0
HTR6	1	1	0	1	1	0	3	1
TMCO4	58	3	3	60	2	5	73	3
RNF186	0	0	0	0	0	0	0	0
OTUD3	178	36	14	191	32	17	333	4
PLA2G2E	0	0	0	0	0	0	0	0
PLA2G2A	134	29	46	21	3	2	91	0
PLA2G5	13	0	0	2	0	0	2	0
PLA2G2D	0	0	0	0	0	0	0	0
PLA2G2F	0	0	0	0	0	0	0	0
PLA2G2C	0	0	0	1	0	0	3	0
UBXN10	19	2	0	22	2	1	53	0
VWA5B1	3	0	0	10	1	0	6	2
CAMK2N1	186	37	18	100	14	9	546	3
MUL1	221	30	14	101	25	13	478	2
FAM43B	30	1	9	14	0	0	48	0
CDA	35	20	65	75	4	2	161	1
PINK1	404	28	56	212	31	19	743	9
DDOST	4610	290	255	1411	219	193	8195	50
KIF17	14	6	3	18	4	4	47	3
SH2D5	5	1	0	2	0	0	22	0
HP1BP3	2047	395	69	1699	334	197	4247	75
EIF4G3	1039	674	47	3595	627	427	2282	153
ECE1	889	135	26	659	84	83	1308	18
NBPF3	43	16	0	74	16	9	149	0
ALPL	85	19	35	148	5	14	196	1
RAP1GAP	78	2	4	36	4	4	228	2
USP48	850	164	73	869	164	114	1848	28
LDLRAD2	5	2	2	5	1	1	11	0
HSPG2	289	33	16	192	35	27	484	7
CELA3B	0	1	0	1	0	0	0	0
CELA3A	0	0	0	1	0	0	0	0
CDC42	5534	786	313	3782	555	463	11263	134
WNT4	120	46	5	250	23	4	388	16
ZBTB40	162	43	8	187	34	24	274	12
EPHA8	1	0	2	3	0	0	17	0
C1QA	0	0	0	0	0	0	0	0
C1QC	0	0	0	0	0	0	0	0
C1QB	0	0	0	0	0	0	0	0
EPHB2	398	107	15	417	96	36	692	17
LACTBL1	0	0	0	1	0	0	0	0
TEX46	6	0	0	5	0	0	1	0
KDM1A	1961	526	125	1611	324	266	4355	60
LUZP1	1240	226	48	1394	258	161	2347	46
HTR1D	1	1	4	0	0	0	2	0
HNRNPR	5972	1024	261	4300	898	595	12355	180
ZNF436	30	7	2	19	2	4	60	1
TCEA3	45	8	2	31	5	4	134	2
ASAP3	70	21	9	109	31	17	270	6
E2F2	20	5	1	17	3	5	33	0
ID3	3427	767	439	3327	310	181	10317	95
RPL11	70232	7367	5832	32482	5036	4049	141499	1139
ELOA	565	61	40	349	59	46	1022	13
PITHD1	1044	144	84	568	105	49	2202	23
LYPLA2	497	81	50	374	63	40	925	12
GALE	827	78	59	259	33	30	1452	12
HMGCL	340	49	24	197	26	33	815	4
FUCA1	133	12	19	84	10	8	335	2
CNR2	0	0	0	0	0	0	0	0
PNRC2	1138	250	82	939	160	121	2088	37
SRSF10	3333	551	163	2045	398	311	6479	95
MYOM3	3	1	0	3	0	0	2	0
IL22RA1	0	0	0	1	0	0	0	0
IFNLR1	8	11	5	40	3	0	24	1
GRHL3	4	2	1	23	0	0	4	1
STPG1	111	22	8	86	16	10	237	1
NIPAL3	144	20	12	87	10	9	284	5
RCAN3	225	46	15	164	38	23	474	6
NCMAP	8	1	0	3	0	0	14	0
SRRM1	4092	698	253	2573	496	294	8762	128
CLIC4	770	294	61	1399	252	190	1370	58
